Vertices,Density,CSR w/o MKL
1024,0.1,4.8
1024,0.2,7.7
1024,0.3,8.3
1024,0.4,11.4
1024,0.5,12.3
1024,0.6,13.5
1024,0.7,12.3
1024,0.8,12.8
1024,0.9,14.7
1024,1,15.6
1024,1.1,16.2
1024,1.2,16.7
1024,1.3,17.5
1024,1.4,18.2
1024,1.5,19.2
1024,1.6,20.5
1024,1.7,21
1024,1.8,21.5
1024,1.9,22.3
1024,2,23.2
1024,2.1,24.1
1024,2.2,25.4
1024,2.3,26.4
1024,2.4,27.1
1024,2.5,28
1024,2.6,29.5
1024,2.7,30.4
1024,2.8,32.3
1024,2.9,32.6
1024,3,34
2048,0.1,15.8
2048,0.2,21.9
2048,0.3,25.5
2048,0.4,29.1
2048,0.5,32.1
2048,0.6,34.4
2048,0.7,37.3
2048,0.8,39.4
2048,0.9,43.3
2048,1,47.1
2048,1.1,50.4
2048,1.2,54.4
2048,1.3,59.5
2048,1.4,63.6
2048,1.5,68.5
2048,1.6,70.9
2048,1.7,75.4
2048,1.8,79.5
2048,1.9,83.2
2048,2,86.6
2048,2.1,90
2048,2.2,94
2048,2.3,97.9
2048,2.4,102.2
2048,2.5,105.8
2048,2.6,109.9
2048,2.7,114.1
2048,2.8,119.5
2048,2.9,122.8
2048,3,127.8
4096,0.1,47.2
4096,0.2,60.1
4096,0.3,70.1
4096,0.4,80.5
4096,0.5,91.5
4096,0.6,105.2
4096,0.7,120
4096,0.8,134.2
4096,0.9,150
4096,1,164.3
4096,1.1,179.3
4096,1.2,196.3
4096,1.3,212.4
4096,1.4,229.4
4096,1.5,246.9
4096,1.6,263.1
4096,1.7,301.6
4096,1.8,302.8
4096,1.9,320
4096,2,338.9
4096,2.1,356.8
4096,2.2,375.4
4096,2.3,394.8
4096,2.4,412.5
4096,2.5,430.5
4096,2.6,449.4
4096,2.7,467.9
4096,2.8,486
4096,2.9,504.6
4096,3,523.5
8192,0.1,116.2
8192,0.2,153.8
8192,0.3,205.4
8192,0.4,266.8
8192,0.5,327
8192,0.6,392.9
8192,0.7,463.3
8192,0.8,536.7
8192,0.9,611.3
8192,1,686.8
8192,1.1,762.4
8192,1.2,838.7
8192,1.3,912.3
8192,1.4,985
8192,1.5,1062.6
8192,1.6,1127.4
8192,1.7,1204.3
8192,1.8,1279.5
8192,1.9,1355.2
8192,2,1439.5
8192,2.1,1514.8
8192,2.2,1588.1
8192,2.3,1663
8192,2.4,1734.9
8192,2.5,1810.8
8192,2.6,1885
8192,2.7,1959.4
8192,2.8,2038
8192,2.9,2110.5
8192,3,2183.3
16384,0.1,301.4
16384,0.2,542.3
16384,0.3,803.7
16384,0.4,1077.5
16384,0.5,1393.2
16384,0.6,1698.2
16384,0.7,2006.3
16384,0.8,2314.5
16384,0.9,2627.4
16384,1,2945.5
16384,1.1,3270.9
16384,1.2,3599.7
16384,1.3,3941.7
16384,1.4,4286.9
16384,1.5,4612.5
16384,1.6,4906.8
16384,1.7,5212.8
16384,1.8,5540
16384,1.9,5870.3
16384,2,6192.3
16384,2.1,6506.2
16384,2.2,6839.2
16384,2.3,7136
16384,2.4,7479.6
16384,2.5,7785.3
16384,2.6,8107.4
16384,2.7,8410.7
16384,2.8,8728.6
16384,2.9,9035.1
16384,3,9359.7
32768,0.1,1068.3
32768,0.2,2204.3
32768,0.3,3509.1
32768,0.4,4815.4
32768,0.5,6112.2
32768,0.6,7402.2
32768,0.7,8710.2
32768,0.8,10123.8
32768,0.9,11321.2
32768,1,12545.5
32768,1.1,13837.5
32768,1.2,15101
32768,1.3,16362.9
32768,1.4,17658.8
32768,1.5,18977.4
32768,1.6,20327.1
32768,1.7,21535.6
32768,1.8,22714.6
32768,1.9,24024.1
32768,2,25235.2
32768,2.1,26472.8
32768,2.2,27750.8
32768,2.3,29000.4
32768,2.4,30355.2
32768,2.5,31513.1
32768,2.6,32787.7
32768,2.7,34121.5
32768,2.8,35422.1
32768,2.9,36597
32768,3,37800.3
65536,0.1,4662.1
65536,0.2,10087.1
65536,0.3,15107.4
65536,0.4,20398.3
65536,0.5,25512
65536,0.6,30578.7
65536,0.7,35950.5
65536,0.8,40970.5
65536,0.9,45990.5
65536,1,51150.2
65536,1.1,56264.7
65536,1.2,61456.9
65536,1.3,66883.1
65536,1.4,71847.4
65536,1.5,76515.9
65536,1.6,81610.9
65536,1.7,86759.6
65536,1.8,91960.6
65536,1.9,96885.3
65536,2,101718
65536,2.1,107363
65536,2.2,111988
65536,2.3,117176
65536,2.4,122257
65536,2.5,126877
65536,2.6,132124
65536,2.7,137221
65536,2.8,142378
65536,2.9,147312
65536,3,152005
131072,0.1,20756.8
131072,0.2,41795.1
131072,0.3,62598.3
131072,0.4,83407.5
131072,0.5,104289
131072,0.6,124906
131072,0.7,145589
131072,0.8,166080
131072,0.9,186903
131072,1,207224
131072,1.1,228198
131072,1.2,249080
131072,1.3,269204
131072,1.4,289615
131072,1.5,310016
131072,1.6,330894
131072,1.7,351278
131072,1.8,371702
131072,1.9,392062
131072,2,412317
131072,2.1,432756
131072,2.2,453183
131072,2.3,473575
131072,2.4,493701
131072,2.5,513595
131072,2.6,533948
131072,2.7,553965
131072,2.8,574403
131072,2.9,593698
131072,3,613186
