Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,2444.7,33.4
1024,0.2,1286,27.7
1024,0.3,1305.9,26.1
1024,0.4,1281.2,24.9
1024,0.5,1282.4,34.5
1024,0.6,1248.9,21.7
1024,0.7,1251,21.3
1024,0.8,1216.2,23.6
1024,0.9,1210.5,24.7
1024,1,1192.7,25.1
1024,1.1,1183.7,26.7
1024,1.2,1161.6,25.4
1024,1.3,1137.2,26.4
1024,1.4,1113.5,27.5
1024,1.5,1095.2,19.9
1024,1.6,420.2,21
1024,1.7,107.4,17.6
1024,1.8,110.1,18
1024,1.9,106.6,18.5
1024,2,108.3,19.4
1024,2.1,1047.5,22.3
1024,2.2,1034.1,21.3
1024,2.3,1016.1,18.5
1024,2.4,166.1,18.8
1024,2.5,975.3,20.1
1024,2.6,967.8,24.7
1024,2.7,945,19
1024,2.8,111.3,19
1024,2.9,112.6,19.3
1024,3,983.4,21.9
2048,0.1,104,17.1
2048,0.2,1311,21.3
2048,0.3,1249,30.5
2048,0.4,1038.7,15.6
2048,0.5,312.1,21
2048,0.6,1027.5,22
2048,0.7,957.8,23.6
2048,0.8,830.7,20.4
2048,0.9,113.9,19.9
2048,1,748.9,19.7
2048,1.1,111.8,20.5
2048,1.2,114.9,21
2048,1.3,686.8,24
2048,1.4,430.8,18.3
2048,1.5,115.7,22.5
2048,1.6,112.6,20.3
2048,1.7,112.6,20.9
2048,1.8,115.3,21.9
2048,1.9,153,17.3
2048,2,116,21.1
2048,2.1,282.1,18.4
2048,2.2,117.3,22.4
2048,2.3,116.8,21.7
2048,2.4,113.6,24.8
2048,2.5,115.2,23.5
2048,2.6,115.9,23
2048,2.7,122.1,22.3
2048,2.8,121.5,21.1
2048,2.9,122,25
2048,3,124.1,21.7
4096,0.1,1681.2,29.8
4096,0.2,899.3,20.1
4096,0.3,620.4,21.2
4096,0.4,276.1,22
4096,0.5,117.6,23.6
4096,0.6,119.4,24.8
4096,0.7,125.7,26.4
4096,0.8,120.4,24.9
4096,0.9,124.5,23.7
4096,1,125.8,28.7
4096,1.1,153.2,28.8
4096,1.2,143.5,29.4
4096,1.3,155.1,29.8
4096,1.4,141.9,33.5
4096,1.5,161.2,32.5
4096,1.6,181.7,47.9
4096,1.7,194,40.9
4096,1.8,183.7,41.6
4096,1.9,254.2,55.7
4096,2,210,51.2
4096,2.1,232,56.5
4096,2.2,233.2,48.5
4096,2.3,290.9,64.2
4096,2.4,295.2,65.8
4096,2.5,303.1,67.7
4096,2.6,306.1,67.8
4096,2.7,313.9,73.9
4096,2.8,310.8,71.6
4096,2.9,309.9,72
4096,3,318,70.1
8192,0.1,1467.1,37.7
8192,0.2,127.4,26.5
8192,0.3,130.6,26.6
8192,0.4,190.7,51.4
8192,0.5,242.5,64.6
8192,0.6,298.2,76
8192,0.7,313.4,84.8
8192,0.8,336.4,87.2
8192,0.9,348.9,94.7
8192,1,369.8,97.8
8192,1.1,387.7,103.5
8192,1.2,400.2,110.2
8192,1.3,423.4,121.4
8192,1.4,450,127.9
8192,1.5,459.4,129.6
8192,1.6,485.3,144.9
8192,1.7,489.1,142.2
8192,1.8,514.4,146.6
8192,1.9,529.7,157.6
8192,2,545.9,166.3
8192,2.1,565.2,163.1
8192,2.2,590.2,175.3
8192,2.3,603.3,182.2
8192,2.4,625.5,188.2
8192,2.5,648.2,196.6
8192,2.6,657.6,202.6
8192,2.7,687.8,208.6
8192,2.8,709.9,219.3
8192,2.9,712.2,226.2
8192,3,734,229.5
16384,0.1,184.2,49.1
16384,0.2,354.6,118.9
16384,0.3,418.5,142.6
16384,0.4,486.4,174.1
16384,0.5,572.2,198.6
16384,0.6,650.8,236.7
16384,0.7,713.1,267.6
16384,0.8,794,300.8
16384,0.9,876.4,335.3
16384,1,932.3,377.2
16384,1.1,1013.1,409.4
16384,1.2,1080.5,483.4
16384,1.3,1163.1,525.7
16384,1.4,720.2,441
16384,1.5,617,362
16384,1.6,1395.7,660.5
16384,1.7,1447.4,686.9
16384,1.8,1435.6,606.5
16384,1.9,1595,768.6
16384,2,1628.6,804.5
16384,2.1,1597.9,716.9
16384,2.2,1785,863.1
16384,2.3,1759,854.7
16384,2.4,1811.5,871
16384,2.5,2010.2,868.2
16384,2.6,1649.2,1008.4
16384,2.7,1911.6,1049
16384,2.8,2048,858.2
16384,2.9,2081.4,1031.1
16384,3,2251.7,1041.4
32768,0.1,511.2,217.2
32768,0.2,808,344.8
32768,0.3,1108.5,561.5
32768,0.4,1374.4,751.6
32768,0.5,1581,861.3
32768,0.6,1886.5,995.1
32768,0.7,1965.7,1080.7
32768,0.8,2263.6,1273.2
32768,0.9,2346.5,1125.6
32768,1,2506.4,1292.8
32768,1.1,2918.6,1574.4
32768,1.2,2971.2,1469.5
32768,1.3,3076.6,1542.5
32768,1.4,3274.3,1601.2
32768,1.5,3586.7,1706.6
32768,1.6,3598.8,1743.3
32768,1.7,3723,1797.5
32768,1.8,3546,1868.1
32768,1.9,3992.3,1892.6
32768,2,4352.5,2022.3
32768,2.1,4246.1,2028.3
32768,2.2,4203.4,2101
32768,2.3,4689.7,2204.5
32768,2.4,4377.6,2248.5
32768,2.5,4739.7,2339.1
32768,2.6,4462.7,2414.5
32768,2.7,4930.6,2515.6
32768,2.8,4984.4,2575.1
32768,2.9,5132.3,2679.1
32768,3,5099.4,2816.2
65536,0.1,1421.4,763.3
65536,0.2,2321.4,1257.2
65536,0.3,3113.6,1598.7
65536,0.4,3560.6,1800.1
65536,0.5,4553.2,2068.8
65536,0.6,4496.9,2329.7
65536,0.7,5174.6,2747.1
65536,0.8,5860.4,3130.3
65536,0.9,6344.8,3477.7
65536,1,7136.7,3811.9
65536,1.1,7408.8,4142.5
65536,1.2,7828.2,4586.2
65536,1.3,8149.9,4883.1
65536,1.4,8636.4,5282.5
65536,1.5,8976.6,5680
65536,1.6,9801.5,5964.8
65536,1.7,10009.5,6405.9
65536,1.8,10264.6,6737.2
65536,1.9,10848.4,7071.1
65536,2,11383.3,7496.5
65536,2.1,11919.5,7851.6
65536,2.2,12482.1,8227.6
65536,2.3,13269,8506.9
65536,2.4,13147.7,8946.9
65536,2.5,13697.1,9222.2
65536,2.6,14339.2,9862.5
65536,2.7,14721.9,9934.5
65536,2.8,15221.5,10531
65536,2.9,15825.2,10727
65536,3,16177.8,11163.5
131072,0.1,3563.1,1840.4
131072,0.2,5840.7,3246.3
131072,0.3,7731.2,4580.1
131072,0.4,10088.2,6097.5
131072,0.5,11450.9,7584.8
131072,0.6,13369.8,9211.8
131072,0.7,15361.2,10681.5
131072,0.8,17734.5,12107.9
131072,0.9,19477.3,13591.3
131072,1,21611.7,15189.4
131072,1.1,23302.4,16606.5
131072,1.2,24786.1,18023.1
131072,1.3,26688,19467.3
131072,1.4,28908.1,21009.1
131072,1.5,30548.8,22552.1
131072,1.6,32468.9,24050.1
131072,1.7,34320.6,25454.5
131072,1.8,36188.9,27011.7
131072,1.9,37976.8,28472.5
131072,2,40011.3,29993.5
131072,2.1,42125.8,31372.8
131072,2.2,44134.8,32737
131072,2.3,46309.1,34281
131072,2.4,47444.6,35489.5
131072,2.5,49243.5,37138.7
131072,2.6,50906.7,38571.7
131072,2.7,52952,39929.2
131072,2.8,55065.8,41864.5
131072,2.9,56407.3,42815.2
131072,3,58939.2,43962.7
