Vertices,Density,CSR w/o MKL,CSR w/ MKL
131072,0.1,3563.1,1840.4
131072,0.2,5840.7,3246.3
131072,0.3,7731.2,4580.1
131072,0.4,10088.2,6097.5
131072,0.5,11450.9,7584.8
131072,0.6,13369.8,9211.8
131072,0.7,15361.2,10681.5
131072,0.8,17734.5,12107.9
131072,0.9,19477.3,13591.3
131072,1,21611.7,15189.4
131072,1.1,23302.4,16606.5
131072,1.2,24786.1,18023.1
131072,1.3,26688,19467.3
131072,1.4,28908.1,21009.1
131072,1.5,30548.8,22552.1
131072,1.6,32468.9,24050.1
131072,1.7,34320.6,25454.5
131072,1.8,36188.9,27011.7
131072,1.9,37976.8,28472.5
131072,2,40011.3,29993.5
131072,2.1,42125.8,31372.8
131072,2.2,44134.8,32737
131072,2.3,46309.1,34281
131072,2.4,47444.6,35489.5
131072,2.5,49243.5,37138.7
131072,2.6,50906.7,38571.7
131072,2.7,52952,39929.2
131072,2.8,55065.8,41864.5
131072,2.9,56407.3,42815.2
131072,3,58939.2,43962.7
