Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,2382,45.1
1024,0.2,1259.4,26.4
1024,0.3,1305.3,27.2
1024,0.4,1285.2,25.6
1024,0.5,1278.8,21.6
1024,0.6,1256.1,22.8
1024,0.7,1249.6,23.9
1024,0.8,1218.3,20.8
1024,0.9,1205.2,24.4
1024,1,1188,22.9
1024,1.1,1178.4,26.4
1024,1.2,1153.6,18.5
1024,1.3,1235,26.4
1024,1.4,1044.5,21.7
1024,1.5,1185.9,30.5
1024,1.6,976.3,18.8
1024,1.7,198.1,17
1024,1.8,107.6,17.4
1024,1.9,108.5,19.1
1024,2,106.5,1300.7
1024,2.1,964,18.9
1024,2.2,1024.8,19.9
1024,2.3,183.5,14.5
1024,2.4,990.8,38.2
1024,2.5,132.5,16.6
1024,2.6,960.8,16.8
1024,2.7,936.2,22.7
1024,2.8,920.7,42.4
1024,2.9,897.6,26.9
1024,3,876,22.1
2048,0.1,1380.7,21.2
2048,0.2,1305.9,17.5
2048,0.3,310.6,17.9
2048,0.4,107.9,17.4
2048,0.5,111.7,18.9
2048,0.6,987.3,19.4
2048,0.7,112.6,19.3
2048,0.8,110.2,20
2048,0.9,112.6,20.6
2048,1,111.6,20
2048,1.1,112.9,22.3
2048,1.2,982.3,24.7
2048,1.3,110.4,19.8
2048,1.4,543.6,15.4
2048,1.5,411.4,22.3
2048,1.6,109.8,19.6
2048,1.7,114.4,19.3
2048,1.8,109.9,21
2048,1.9,112.6,21.1
2048,2,111.7,21.5
2048,2.1,528.4,23.2
2048,2.2,111.7,22.2
2048,2.3,116.1,22.6
2048,2.4,113.6,21.5
2048,2.5,119.3,24.2
2048,2.6,117.3,21.2
2048,2.7,128.6,27.2
2048,2.8,110.7,21.4
2048,2.9,118.3,21.1
2048,3,117.8,21.6
4096,0.1,114.8,21.5
4096,0.2,193.8,17.2
4096,0.3,114.7,21
4096,0.4,118.4,22.8
4096,0.5,118.3,20.6
4096,0.6,124.3,23.9
4096,0.7,119.6,26.4
4096,0.8,120.2,24.6
4096,0.9,145.2,28.5
4096,1,121.6,24.3
4096,1.1,149.4,28.2
4096,1.2,124.5,26.5
4096,1.3,149.3,29.5
4096,1.4,135.9,37.6
4096,1.5,150.1,32
4096,1.6,157.8,35
4096,1.7,181.4,44.2
4096,1.8,155.4,35.9
4096,1.9,208.3,51.1
4096,2,223.2,54.1
4096,2.1,226.8,54.2
4096,2.2,206.4,63.5
4096,2.3,248.8,64
4096,2.4,250.1,67.9
4096,2.5,255.4,67.5
4096,2.6,260.3,66.8
4096,2.7,258.3,70.4
4096,2.8,264.4,70.6
4096,2.9,262,72.2
4096,3,262.9,75.7
8192,0.1,1601.3,28
8192,0.2,127.6,26
8192,0.3,133.5,27.1
8192,0.4,238.4,59.3
8192,0.5,228.3,63.1
8192,0.6,278.6,79.1
8192,0.7,283.4,85.3
8192,0.8,291,92.9
8192,0.9,302.9,95.9
8192,1,321.2,103.2
8192,1.1,316.1,108.1
8192,1.2,329.1,114.7
8192,1.3,350.7,123.5
8192,1.4,349.9,129.2
8192,1.5,360.2,135.2
8192,1.6,371,141.1
8192,1.7,375,141.7
8192,1.8,395.1,152
8192,1.9,404.8,158.4
8192,2,406.2,156.5
8192,2.1,443.3,168.7
8192,2.2,439.4,177.1
8192,2.3,453,184.5
8192,2.4,460.1,193.5
8192,2.5,467.3,197.5
8192,2.6,486.5,203.6
8192,2.7,482.6,207.1
8192,2.8,496.3,211
8192,2.9,513,218.9
8192,3,509.4,226.4
16384,0.1,262.7,68.7
16384,0.2,341.3,117.9
16384,0.3,378.9,147.3
16384,0.4,418.3,172.6
16384,0.5,482,201
16384,0.6,517.9,238.4
16384,0.7,553,265.7
16384,0.8,623.1,297.1
16384,0.9,656.4,333.7
16384,1,706.4,370.3
16384,1.1,756,417.6
16384,1.2,814.5,471.4
16384,1.3,846,532.8
16384,1.4,905.9,570.8
16384,1.5,945.4,571.9
16384,1.6,985.6,660.8
16384,1.7,1050.6,714
16384,1.8,1087.9,728.9
16384,1.9,1113.1,765
16384,2,1183.3,762.5
16384,2.1,1237.4,838.8
16384,2.2,1284.1,846.7
16384,2.3,1314.6,911.4
16384,2.4,1402.9,859.2
16384,2.5,1438.6,982.8
16384,2.6,1416.2,961.1
16384,2.7,1446.6,963.3
16384,2.8,1568.3,1056.3
16384,2.9,1661.8,1098.3
16384,3,1686.3,1123.2
32768,0.1,511.6,218.2
32768,0.2,713.8,360.4
32768,0.3,928.8,526.1
32768,0.4,1126.5,729
32768,0.5,1333.3,861.7
32768,0.6,1487.6,1000.6
32768,0.7,1665.3,985.3
32768,0.8,1855.7,1240.3
32768,0.9,1964.5,1294.6
32768,1,2115.6,1411.1
32768,1.1,2135.5,1397.4
32768,1.2,2461.6,1536.1
32768,1.3,2570.4,1632.8
32768,1.4,2440.8,1522.1
32768,1.5,2730.7,1665.5
32768,1.6,2719.9,1680.6
32768,1.7,2771.4,1770
32768,1.8,3055.5,1812.7
32768,1.9,3239.8,1948.7
32768,2,3379.3,2050.7
32768,2.1,3423.9,2064.4
32768,2.2,3682.7,2160.5
32768,2.3,3608,2220.2
32768,2.4,3815.1,2277.5
32768,2.5,3550.7,2343.3
32768,2.6,3949.4,2452.7
32768,2.7,4099.1,2547.4
32768,2.8,3874.2,2571.8
32768,2.9,4273.1,2676.4
32768,3,4172.8,2780.8
65536,0.1,1206.5,841.6
65536,0.2,1886.1,1292.6
65536,0.3,2367.7,1519.9
65536,0.4,2820,1717.2
65536,0.5,3676.8,2103.7
65536,0.6,3665.7,2321.8
65536,0.7,4295.7,2703.9
65536,0.8,4687.8,3016.9
65536,0.9,4965.4,3372.1
65536,1,5626,3741.3
65536,1.1,6039.3,4078.5
65536,1.2,6018.5,4474.6
65536,1.3,6557.7,4830.6
65536,1.4,7207.3,5191.9
65536,1.5,7555.8,5573.8
65536,1.6,7835.6,5947
65536,1.7,8115.8,6334.6
65536,1.8,8390.1,6637.7
65536,1.9,9002.9,7095.6
65536,2,9365.2,7378.7
65536,2.1,9624.8,7744.2
65536,2.2,10250.5,8118.7
65536,2.3,10626.9,8398.1
65536,2.4,11010.9,8834.7
65536,2.5,11398.2,9154.9
65536,2.6,11695.6,9505
65536,2.7,12080.8,9903
65536,2.8,12435.8,10407.3
65536,2.9,12728.6,10567.6
65536,3,13385,11063.6
131072,0.1,3120.8,1870.3
