Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,1710.3,36.1
1024,0.2,1835.1,31.8
1024,0.3,1295.2,26.9
1024,0.4,1285.3,31.1
1024,0.5,1274.3,24.4
1024,0.6,1257.2,26.7
1024,0.7,1253.3,24.1
1024,0.8,1217.1,26.2
1024,0.9,1182.3,26.6
1024,1,1192.2,28.8
1024,1.1,1160.7,21.3
1024,1.2,308.9,22.6
1024,1.3,109.3,20.2
1024,1.4,112.9,21.9
1024,1.5,109.4,21
1024,1.6,109,21.8
1024,1.7,1115.4,17.2
1024,1.8,1106.8,21.7
1024,1.9,1086.6,18.1
1024,2,116.3,20.5
1024,2.1,114.5,21.4
1024,2.2,113.9,21.3
1024,2.3,114.6,20.7
1024,2.4,112.7,20.7
1024,2.5,227.1,21.2
1024,2.6,1018.7,20.5
1024,2.7,115.5,21.9
1024,2.8,115.5,20.5
1024,2.9,114.5,23.4
1024,3,948,25
2048,0.1,1385.2,22.8
2048,0.2,1303.4,22.8
2048,0.3,1241.4,15.1
2048,0.4,1201.6,22.7
2048,0.5,1117.9,19.9
2048,0.6,1058.5,40.9
2048,0.7,977.2,39.1
2048,0.8,116.4,42.6
2048,0.9,118,21.1
2048,1,118.4,51.7
2048,1.1,118.7,21.9
2048,1.2,864.6,56
2048,1.3,123.2,20.8
2048,1.4,122.1,72.8
2048,1.5,503,23
2048,1.6,122.3,87.6
2048,1.7,454.9,21.2
2048,1.8,124.4,62.2
2048,1.9,133.6,21.3
2048,2,387.7,103.9
2048,2.1,136.8,20.1
2048,2.2,136,94.7
2048,2.3,131.5,21.7
2048,2.4,129,54.7
2048,2.5,122.3,18.8
2048,2.6,137.4,126.1
2048,2.7,141.1,21.9
2048,2.8,132.2,108.2
2048,2.9,142.2,19.7
2048,3,136.3,128.5
4096,0.1,259.4,19
4096,0.2,891.8,36.9
4096,0.3,125.2,22.8
4096,0.4,130.3,23
4096,0.5,309.3,23.4
4096,0.6,138.3,22.1
4096,0.7,154.5,28.8
4096,0.8,150.7,25.5
4096,0.9,196.5,28.5
4096,1,154,23.5
4096,1.1,168.3,28.6
4096,1.2,174.4,25.4
4096,1.3,177.4,25.3
4096,1.4,231.3,34.2
4096,1.5,238.3,33.8
4096,1.6,305.1,44.4
4096,1.7,290.3,38.5
4096,1.8,371.5,51
4096,1.9,357.8,53
4096,2,418,57
4096,2.1,373.5,57.4
4096,2.2,390.5,62.5
4096,2.3,505.2,63.7
4096,2.4,514,69.1
4096,2.5,516.1,70.5
4096,2.6,538,77.1
4096,2.7,546,69.4
4096,2.8,557.2,72.4
4096,2.9,571.5,72.1
4096,3,580.8,73.2
8192,0.1,1389.3,30.9
8192,0.2,162.3,30.2
8192,0.3,196.3,31.1
8192,0.4,272.4,40.3
8192,0.5,513.5,76.7
8192,0.6,575,80.4
8192,0.7,622.4,82.8
8192,0.8,667.3,93.4
8192,0.9,723.7,97.2
8192,1,779.2,101.2
8192,1.1,811.5,104.3
8192,1.2,458.1,75.2
8192,1.3,914.4,107.9
8192,1.4,963.9,129.7
8192,1.5,1001.4,112
8192,1.6,1022.7,116.6
8192,1.7,1092.9,112.7
8192,1.8,1165.3,152.6
8192,1.9,1162.5,138.2
8192,2,1254.7,160.1
8192,2.1,932.9,130.3
8192,2.2,1341.3,172.2
8192,2.3,1371.6,166
8192,2.4,1399.7,180
8192,2.5,1476.9,198.5
8192,2.6,1469.4,186
8192,2.7,1514.8,209.1
8192,2.8,1617.3,208.2
8192,2.9,1524.8,180.3
8192,3,1698.3,227.5
16384,0.1,430.6,70.6
16384,0.2,764,117.2
16384,0.3,980.2,133.6
16384,0.4,1204.6,172.1
16384,0.5,1395.9,204.9
16384,0.6,1598,240.9
16384,0.7,1787.7,261.2
16384,0.8,1946.9,296.3
16384,0.9,2020.6,336.5
16384,1,2168.3,369.7
16384,1.1,2275.2,334.2
16384,1.2,1786.1,365
16384,1.3,2616.3,444.9
16384,1.4,2543.3,478.4
16384,1.5,2699.9,484.4
16384,1.6,2885.3,514.1
16384,1.7,2946.8,543.2
16384,1.8,3087,511.4
16384,1.9,2701.3,513.8
16384,2,3140.1,555.3
16384,2.1,3436.9,606.8
16384,2.2,3408.9,605.4
16384,2.3,3419.5,576
16384,2.4,3362.1,611.4
16384,2.5,3838.9,638.3
16384,2.6,4067.2,657.9
16384,2.7,3002.5,599.6
16384,2.8,3161.2,657.7
16384,2.9,3794.4,645
16384,3,3588.6,631.7
32768,0.1,1322.6,173.5
32768,0.2,2110.4,363.3
32768,0.3,2762.9,488.8
32768,0.4,2178.2,479.7
32768,0.5,3545.1,596.3
32768,0.6,3812.1,637.6
32768,0.7,3917.6,680.4
32768,0.8,3492,721.8
32768,0.9,4686.1,833
32768,1,5331.3,889.4
32768,1.1,5617.9,997.5
32768,1.2,5692.6,1068.7
32768,1.3,6542.1,1193
32768,1.4,6740.1,1246.4
32768,1.5,6471.1,1365.1
32768,1.6,7440.7,1450.6
32768,1.7,9458.4,1536.7
32768,1.8,10056.2,2756.8
32768,1.9,10373.2,1727.8
