Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,17.3,19.2
1024,0.2,23,18
1024,0.3,28.2,20
1024,0.4,19.9,12.6
1024,0.5,22.3,13.1
1024,0.6,26,12.7
1024,0.7,28.4,13.2
1024,0.8,20,11.7
1024,0.9,20.5,10.4
1024,1,22.1,10.7
1024,1.1,23.7,10.8
1024,1.2,21.6,11.1
1024,1.3,23.3,10.7
1024,1.4,25.4,10.9
1024,1.5,26.1,11.1
1024,1.6,28.4,10.5
1024,1.7,28.9,10.6
1024,1.8,30.3,10.6
1024,1.9,31.8,11.3
1024,2,33.2,10.5
1024,2.1,35.7,11.5
1024,2.2,37.1,11.3
1024,2.3,38.7,11.1
1024,2.4,39.2,11.3
1024,2.5,40.7,10.6
1024,2.6,44.6,11.3
1024,2.7,43.9,10.6
1024,2.8,46.1,10.4
1024,2.9,47,10.4
1024,3,48.1,10.3
2048,0.1,17.8,10.1
2048,0.2,23.7,9.7
2048,0.3,28.2,9.5
2048,0.4,33.4,10.9
2048,0.5,38.4,10.2
2048,0.6,43.8,11.9
2048,0.7,51.3,11
2048,0.8,55.7,11.3
2048,0.9,62.5,11
2048,1,67.6,11.3
2048,1.1,73.3,11.7
2048,1.2,79.1,11.6
2048,1.3,85.2,12.3
2048,1.4,91.3,12.6
2048,1.5,97.2,13.5
2048,1.6,104.5,22.3
2048,1.7,109.8,13.2
2048,1.8,84.2,25.4
2048,1.9,72.4,26.9
2048,2,76.8,25.8
2048,2.1,80.8,23.8
2048,2.2,84.6,23.4
2048,2.3,88.7,27.1
2048,2.4,92,23.6
2048,2.5,96.6,23.3
2048,2.6,100.9,24.5
2048,2.7,104.9,23.5
2048,2.8,109.6,24.3
2048,2.9,114.4,24.3
2048,3,118.8,25.2
4096,0.1,51.3,9.8
4096,0.2,67.3,12.6
4096,0.3,88.6,13.1
4096,0.4,112.5,14.2
4096,0.5,81.5,28.2
4096,0.6,94.8,24.9
4096,0.7,110.4,26.6
4096,0.8,127.1,25.4
4096,0.9,140.5,30.5
4096,1,156.1,34.1
4096,1.1,171.2,29
4096,1.2,187.8,36.4
4096,1.3,204.3,35.5
4096,1.4,221.9,32.7
4096,1.5,240.1,39.2
4096,1.6,268.9,43.2
4096,1.7,277.7,37.4
4096,1.8,297.4,39.1
4096,1.9,314.3,37
4096,2,332.9,38
4096,2.1,351.1,39.5
4096,2.2,369.3,39
4096,2.3,388.4,39.1
4096,2.4,406.8,40.2
4096,2.5,424.9,42.6
4096,2.6,444,48.5
4096,2.7,461.2,48
4096,2.8,480.7,50.8
4096,2.9,498.4,45
4096,3,516.7,51.1
8192,0.1,136,23.6
8192,0.2,137.7,28.9
8192,0.3,196.9,30.7
8192,0.4,261.8,43
8192,0.5,323.2,41
8192,0.6,387.7,47.3
8192,0.7,462,47.5
8192,0.8,543.6,70.5
8192,0.9,613.2,62.2
8192,1,676.5,69.3
8192,1.1,754.3,61.8
8192,1.2,822.9,76
8192,1.3,895.7,67.8
8192,1.4,968,79.3
8192,1.5,1041,71.1
8192,1.6,1116.2,135.7
8192,1.7,1193.5,90.6
8192,1.8,1270,85.9
8192,1.9,1343.1,87.3
8192,2,1415.5,79.3
8192,2.1,1488.3,83.5
8192,2.2,1560.1,182.9
8192,2.3,1631.8,767.8
8192,2.4,1707.5,116
8192,2.5,1775.8,104.4
8192,2.6,1852,99.7
8192,2.7,1923.3,114
8192,2.8,2004.2,125.5
8192,2.9,2070.5,105.6
8192,3,2144,137
16384,0.1,293.1,50.5
16384,0.2,542.9,66.2
16384,0.3,793.1,90.5
16384,0.4,1077.5,86.4
16384,0.5,1376.7,118.6
16384,0.6,1674.6,142.2
16384,0.7,1981.9,257.9
16384,0.8,2321.3,299.4
16384,0.9,2614.9,262.5
16384,1,2928,220.1
16384,1.1,3253.4,215.2
16384,1.2,3586.2,249.2
16384,1.3,3919,252.4
16384,1.4,4251.8,350.3
16384,1.5,4533.1,622.1
16384,1.6,4968.3,506.1
16384,1.7,5268.3,384.8
16384,1.8,5552.1,651.4
16384,1.9,5820.4,748.5
16384,2,6165.9,493.9
16384,2.1,6458.4,500.2
16384,2.2,6715.4,788
16384,2.3,7069.1,888.7
16384,2.4,7362.1,927.5
16384,2.5,7638.4,930.6
16384,2.6,7992.5,1012.7
16384,2.7,8245.1,1024.1
16384,2.8,8590.9,1055.1
16384,2.9,8875,1109
16384,3,9191.5,1021.8
32768,0.1,1068,115.3
32768,0.2,2235.8,253.3
32768,0.3,3525,319.9
32768,0.4,4887.8,551
32768,0.5,6118.8,905.5
32768,0.6,7355.3,591.3
32768,0.7,8583.2,1072.1
32768,0.8,10057.1,1322.5
32768,0.9,11251.5,1380.8
32768,1,12439.7,1706.5
32768,1.1,13741.9,1259.2
32768,1.2,15014.8,1802.2
32768,1.3,16278.7,2034.3
32768,1.4,17456.3,1444.7
32768,1.5,18806.5,2115.5
32768,1.6,20144.1,2288.1
32768,1.7,21319.8,2417.8
32768,1.8,22495.1,2514
32768,1.9,23761.3,2519.9
32768,2,25021.7,2685.5
32768,2.1,26276.4,2790.9
32768,2.2,27540.4,2948.6
32768,2.3,28724,2969.9
32768,2.4,29980.1,3101.5
32768,2.5,31220.9,3027.8
32768,2.6,32533.3,3200.3
32768,2.7,33720.5,3321.8
32768,2.8,34879.3,3189
32768,2.9,36144.9,3471.8
32768,3,37424,3549.8
65536,0.1,4796.1,871.3
65536,0.2,10020,1590.7
65536,0.3,15012,2009.9
65536,0.4,20308.1,2436.5
65536,0.5,25233.8,2903.8
65536,0.6,30276,3207
65536,0.7,35455.3,3553.5
65536,0.8,40581.6,4024.7
65536,0.9,45487.1,4160
65536,1,50557.1,4638.3
65536,1.1,55655.3,5030.4
65536,1.2,60602.3,5273.2
65536,1.3,65674.3,5673.9
65536,1.4,70681.6,6051.5
65536,1.5,75732.6,6484.6
65536,1.6,80825.2,6766.4
65536,1.7,85647.8,7175.6
65536,1.8,90724,7581.4
65536,1.9,95770.1,7787.1
65536,2,100818,8281.7
65536,2.1,105694,8672.9
65536,2.2,110719,8893.6
65536,2.3,115666,9293.8
65536,2.4,120579,9765.8
65536,2.5,125700,9976.7
65536,2.6,130522,10191.2
65536,2.7,135381,10809.7
65536,2.8,140559,11252.1
65536,2.9,145378,11333.5
65536,3,150439,11806.2
131072,0.1,20496.1,2506
131072,0.2,40955.6,4064.7
131072,0.3,61241.7,5557.9
131072,0.4,81492.4,7164.6
131072,0.5,101801,8618.1
131072,0.6,122201,10164.8
131072,0.7,142328,11566.9
131072,0.8,162584,13314.5
131072,0.9,183411,14736.3
131072,1,202931,16030.7
131072,1.1,223217,17400.7
131072,1.2,243358,19131.9
131072,1.3,263433,20358
131072,1.4,283468,21897
131072,1.5,303616,23230.8
131072,1.6,323598,24882.3
131072,1.7,343732,26224.1
131072,1.8,363754,28091.4
131072,1.9,383670,29074
131072,2,403585,30658.8
131072,2.1,423574,32209.6
131072,2.2,443863,33845.6
131072,2.3,463445,34771.7
131072,2.4,483281,36619
131072,2.5,502930,37932.1
131072,2.6,522924,39460.2
131072,2.7,542633,40775.2
131072,2.8,562419,42261.6
131072,2.9,582048,44321.3
131072,3,601937,45036.2
