Vertices,Density,CSR,Bandwidth
1024,0.1,964.1,68554.2
1024,0.2,953.5,68554.2
1024,0.3,954.4,68554.2
1024,0.4,955.5,68554.2
1024,0.5,952.4,68554.2
1024,0.6,946,68554.2
1024,0.7,952.2,68554.2
1024,0.8,956.2,68554.2
1024,0.9,953.1,68554.2
1024,1,952.1,68554.2
1024,1.1,956.8,68554.2
1024,1.2,957.3,68554.2
1024,1.3,953.5,68554.2
1024,1.4,956.7,68554.2
1024,1.5,994.5,68554.2
1024,1.6,958,68554.2
1024,1.7,968.5,68554.2
1024,1.8,958,68554.2
1024,1.9,970.7,68554.2
1024,2,961.3,68554.2
1024,2.1,1022.8,68554.2
1024,2.2,972.5,68554.2
1024,2.3,1009.7,68554.2
1024,2.4,978.1,68554.2
1024,2.5,974.7,68554.2
1024,2.6,929.8,68554.2
1024,2.7,979.5,68554.2
1024,2.8,978.2,68554.2
1024,2.9,971,68554.2
1024,3,956.9,68554.2
2048,0.1,973,68554.2
2048,0.2,977.6,68554.2
2048,0.3,971.4,68554.2
2048,0.4,31.9,68554.2
2048,0.5,30,68554.2
2048,0.6,32,68554.2
2048,0.7,32.4,68554.2
2048,0.8,32.9,68554.2
2048,0.9,32.9,68554.2
2048,1,34.3,68554.2
2048,1.1,34.4,68554.2
2048,1.2,34.2,68554.2
2048,1.3,34.2,68554.2
2048,1.4,35.7,68554.2
2048,1.5,36.1,68554.2
2048,1.6,36.4,68554.2
2048,1.7,35.5,68554.2
2048,1.8,36.2,68554.2
2048,1.9,37.3,68554.2
2048,2,36.4,68554.2
2048,2.1,38.4,68554.2
2048,2.2,38.9,68554.2
2048,2.3,39.2,68554.2
2048,2.4,41.7,68554.2
2048,2.5,38.8,68554.2
2048,2.6,40.4,68554.2
2048,2.7,39.4,68554.2
2048,2.8,40.7,68554.2
2048,2.9,41.9,68554.2
2048,3,41.6,68554.2
4096,0.1,31.5,68554.2
4096,0.2,32.5,68554.2
4096,0.3,35.4,68554.2
4096,0.4,37,68554.2
4096,0.5,39.3,68554.2
4096,0.6,41,68554.2
4096,0.7,41,68554.2
4096,0.8,45.7,68554.2
4096,0.9,45.3,68554.2
4096,1,46.8,68554.2
4096,1.1,50,68554.2
4096,1.2,49.8,68554.2
4096,1.3,55.7,68554.2
4096,1.4,53.7,68554.2
4096,1.5,1082.9,68554.2
4096,1.6,1046.5,68554.2
4096,1.7,1028.4,68554.2
4096,1.8,1010.9,68554.2
4096,1.9,929.2,68554.2
4096,2,62.2,68554.2
4096,2.1,63.1,68554.2
4096,2.2,65.8,68554.2
4096,2.3,67.3,68554.2
4096,2.4,67.4,68554.2
4096,2.5,1373.9,68554.2
4096,2.6,114.4,68554.2
4096,2.7,75.7,68554.2
4096,2.8,75.2,68554.2
4096,2.9,80.3,68554.2
4096,3,79.4,68554.2
8192,0.1,41.3,68554.2
8192,0.2,48,68554.2
8192,0.3,55.7,68554.2
8192,0.4,62.4,68554.2
8192,0.5,68.3,68554.2
8192,0.6,76.1,68554.2
8192,0.7,83.4,68554.2
8192,0.8,90.5,68554.2
8192,0.9,97.7,68554.2
8192,1,103.8,68554.2
8192,1.1,111.6,68554.2
8192,1.2,119,68554.2
8192,1.3,124.8,68554.2
8192,1.4,132.6,68554.2
8192,1.5,140,68554.2
8192,1.6,146.5,68554.2
8192,1.7,154.7,68554.2
8192,1.8,164.1,68554.2
8192,1.9,167.1,68554.2
8192,2,174.7,68554.2
8192,2.1,182.7,68554.2
8192,2.2,189.5,68554.2
8192,2.3,195.9,68554.2
8192,2.4,1252.3,68554.2
8192,2.5,422.7,68554.2
8192,2.6,217.7,68554.2
8192,2.7,223.3,68554.2
8192,2.8,231.6,68554.2
8192,2.9,237.4,68554.2
8192,3,245.8,68554.2
16384,0.1,76.9,68554.2
16384,0.2,105.7,68554.2
16384,0.3,134.2,68554.2
16384,0.4,162.5,68554.2
16384,0.5,195.8,68554.2
16384,0.6,220.2,68554.2
16384,0.7,250.5,68554.2
16384,0.8,280.4,68554.2
16384,0.9,308.3,68554.2
16384,1,1396.3,68554.2
16384,1.1,372.9,68554.2
16384,1.2,397.8,68554.2
16384,1.3,426.9,68554.2
16384,1.4,461.4,68554.2
16384,1.5,493.7,68554.2
16384,1.6,519.1,68554.2
16384,1.7,554.2,68554.2
16384,1.8,583.7,68554.2
16384,1.9,612.1,68554.2
16384,2,637.4,68554.2
16384,2.1,669.7,68554.2
16384,2.2,698.1,68554.2
16384,2.3,724.2,68554.2
16384,2.4,752,68554.2
16384,2.5,784.6,68554.2
16384,2.6,813.6,68554.2
16384,2.7,837.7,68554.2
16384,2.8,871.1,68554.2
16384,2.9,899.4,68554.2
16384,3,927.3,68554.2
32768,0.1,203,68554.2
32768,0.2,319.3,68554.2
32768,0.3,444.7,68554.2
32768,0.4,568.5,68554.2
32768,0.5,688.7,68554.2
32768,0.6,808.8,68554.2
32768,0.7,927.8,68554.2
32768,0.8,1122.7,68554.2
32768,0.9,1175.8,68554.2
32768,1,1303.5,68554.2
32768,1.1,1483.5,68554.2
32768,1.2,1565.2,68554.2
32768,1.3,1688.1,68554.2
32768,1.4,1810.3,68554.2
32768,1.5,1932.2,68554.2
32768,1.6,2052.5,68554.2
32768,1.7,2174.7,68554.2
32768,1.8,2285.6,68554.2
32768,1.9,3606.3,68554.2
32768,2,2509,68554.2
32768,2.1,2620.3,68554.2
32768,2.2,2724.6,68554.2
32768,2.3,2827.7,68554.2
32768,2.4,2942.1,68554.2
32768,2.5,3395.4,68554.2
32768,2.6,3140.8,68554.2
32768,2.7,3229.1,68554.2
32768,2.8,3342.7,68554.2
32768,2.9,3559.6,68554.2
32768,3,3554.8,68554.2
65536,0.1,710.3,68554.2
65536,0.2,1173.3,68554.2
65536,0.3,1697.6,68554.2
65536,0.4,2236.5,68554.2
65536,0.5,2795.3,68554.2
65536,0.6,3345.7,68554.2
65536,0.7,3884.2,68554.2
65536,0.8,4492.9,68554.2
65536,0.9,9499.4,68554.2
65536,1,5454.9,68554.2
65536,1.1,5927.9,68554.2
65536,1.2,6390.6,68554.2
65536,1.3,6848.4,68554.2
65536,1.4,14143.5,68554.2
65536,1.5,14996.5,68554.2
65536,1.6,15879.7,68554.2
65536,1.7,16774.9,68554.2
65536,1.8,8965.6,68554.2
65536,1.9,9378.7,68554.2
65536,2,9786.4,68554.2
65536,2.1,10171.6,68554.2
65536,2.2,10589,68554.2
65536,2.3,11056.5,68554.2
65536,2.4,11580.8,68554.2
65536,2.5,11973.7,68554.2
65536,2.6,12461.4,68554.2
65536,2.7,12891,68554.2
65536,2.8,13340.1,68554.2
65536,2.9,13901.1,68554.2
65536,3,14139,68554.2
131072,0.1,3174.6,68554.2
131072,0.2,4597.2,68554.2
131072,0.3,6796.8,68554.2
131072,0.4,9024.3,68554.2
131072,0.5,12131.7,68554.2
131072,0.6,13287.3,68554.2
131072,0.7,15442.8,68554.2
131072,0.8,17512.1,68554.2
131072,0.9,18592.9,68554.2
131072,1,31846,68554.2
131072,1.1,39971.5,68554.2
131072,1.2,29904.6,68554.2
131072,1.3,25576.7,68554.2
131072,1.4,26977.2,68554.2
131072,1.5,29218.1,68554.2
131072,1.6,30568.6,68554.2
131072,1.7,32298.6,68554.2
131072,1.8,34443.8,68554.2
131072,1.9,36283.6,68554.2
131072,2,39646.3,68554.2
131072,2.1,42836.1,68554.2
131072,2.2,44745.5,68554.2
131072,2.3,64251.4,68554.2
131072,2.4,44711.5,68554.2
131072,2.5,54051.4,68554.2
131072,2.6,48355.5,68554.2
131072,2.7,51699.4,68554.2
131072,2.8,51849.9,68554.2
131072,2.9,73462,68554.2
131072,3,64010,68554.2
