Vertices,Density,CSR
1024,0.1,25.6
1024,0.2,25.9
1024,0.3,27.1
1024,0.4,27.1
1024,0.5,27.4
1024,0.6,27.9
1024,0.7,28.2
1024,0.8,28.6
1024,0.9,28.9
1024,1,28.7
1024,1.1,28.4
1024,1.2,28.9
1024,1.3,28.6
1024,1.4,29
1024,1.5,28.5
1024,1.6,29.1
1024,1.7,28.8
1024,1.8,29.1
1024,1.9,29
1024,2,29.4
1024,2.1,29.1
1024,2.2,29.7
1024,2.3,29.6
1024,2.4,30.1
1024,2.5,29.5
1024,2.6,29.5
1024,2.7,30
1024,2.8,29.4
1024,2.9,30.4
1024,3,30.5
2048,0.1,27
2048,0.2,27.6
2048,0.3,28.5
2048,0.4,28.8
2048,0.5,29.9
2048,0.6,29.8
2048,0.7,30.3
2048,0.8,33.5
2048,0.9,31.2
2048,1,31
2048,1.1,31.8
2048,1.2,32.7
2048,1.3,33
2048,1.4,33.6
2048,1.5,33.8
2048,1.6,34.5
2048,1.7,34.7
2048,1.8,35.4
2048,1.9,36.3
2048,2,38.7
2048,2.1,37
2048,2.2,37.7
2048,2.3,37.4
2048,2.4,38.1
2048,2.5,38.4
2048,2.6,38.7
2048,2.7,39.7
2048,2.8,39.9
2048,2.9,40.9
2048,3,40.6
4096,0.1,31.1
4096,0.2,35.5
4096,0.3,33.8
4096,0.4,36.4
4096,0.5,37.9
4096,0.6,40.1
4096,0.7,42.4
4096,0.8,43.7
4096,0.9,45.6
4096,1,47.1
4096,1.1,48.4
4096,1.2,50.2
4096,1.3,52.7
4096,1.4,53.3
4096,1.5,54.8
4096,1.6,57.1
4096,1.7,59.6
4096,1.8,60.6
4096,1.9,65
4096,2,62.9
4096,2.1,64.7
4096,2.2,66.4
4096,2.3,66.9
4096,2.4,69.5
4096,2.5,70.7
4096,2.6,73.2
4096,2.7,74.7
4096,2.8,76.7
4096,2.9,77.9
4096,3,80.2
8192,0.1,43.6
8192,0.2,50
8192,0.3,55.9
8192,0.4,63.2
8192,0.5,70.1
8192,0.6,77.1
8192,0.7,84
8192,0.8,91.6
8192,0.9,99.4
8192,1,105.5
8192,1.1,112.7
8192,1.2,119.9
8192,1.3,129.3
8192,1.4,133.8
8192,1.5,141.4
8192,1.6,148.2
8192,1.7,154.9
8192,1.8,161.2
8192,1.9,169.6
8192,2,180.2
8192,2.1,183.5
8192,2.2,189.9
8192,2.3,200.2
8192,2.4,204.2
8192,2.5,212
8192,2.6,220.5
8192,2.7,224.4
8192,2.8,231.8
8192,2.9,239.8
8192,3,245.1
16384,0.1,78.7
16384,0.2,110.1
16384,0.3,136.3
16384,0.4,164
16384,0.5,192.2
16384,0.6,220.7
16384,0.7,249.6
16384,0.8,277.9
16384,0.9,307.6
16384,1,337
16384,1.1,373.3
16384,1.2,398.4
16384,1.3,432.4
16384,1.4,465.7
16384,1.5,496.4
16384,1.6,527.5
16384,1.7,557.9
16384,1.8,586.9
16384,1.9,611.4
16384,2,647.1
16384,2.1,668.8
16384,2.2,703.9
16384,2.3,733.5
16384,2.4,762
16384,2.5,790.9
16384,2.6,818.7
16384,2.7,847.1
16384,2.8,874.5
16384,2.9,900.9
16384,3,932
32768,0.1,204.2
32768,0.2,321.7
32768,0.3,453.6
32768,0.4,575.4
32768,0.5,694.1
32768,0.6,815.7
32768,0.7,942.2
32768,0.8,1062.3
32768,0.9,1200
32768,1,1305.5
32768,1.1,1438.2
32768,1.2,1554.9
32768,1.3,1695.1
32768,1.4,1813.3
32768,1.5,1933.3
32768,1.6,2049.2
32768,1.7,2172.4
32768,1.8,2289.4
32768,1.9,2391.6
32768,2,4522.5
32768,2.1,2614.1
32768,2.2,3905.3
32768,2.3,2836.7
32768,2.4,2941.6
32768,2.5,3057.2
32768,2.6,3194.3
32768,2.7,3280.1
32768,2.8,3397.5
32768,2.9,3550.8
32768,3,3630.8
65536,0.1,718.6
65536,0.2,1179.9
65536,0.3,1697.7
65536,0.4,2247.1
65536,0.5,2778.3
65536,0.6,3337.4
65536,0.7,3879.2
65536,0.8,4407.3
65536,0.9,4921.5
65536,1,5417.8
65536,1.1,5910.6
65536,1.2,6383
65536,1.3,6812.7
65536,1.4,7252
65536,1.5,7682.5
65536,1.6,8112.3
65536,1.7,8620.9
65536,1.8,9032.8
65536,1.9,9516.7
65536,2,10019.5
65536,2.1,10539.7
65536,2.2,10994.6
65536,2.3,11482
65536,2.4,11974.7
65536,2.5,12455.2
65536,2.6,12914.4
65536,2.7,13380.9
65536,2.8,16894.9
65536,2.9,14295.1
65536,3,16293.9
131072,0.1,3199.5
131072,0.2,8600.3
131072,0.3,6792.2
131072,0.4,9005.4
131072,0.5,11156.7
131072,0.6,13239.7
131072,0.7,15312.4
131072,0.8,17309.8
131072,0.9,19232.3
131072,1,21127.5
131072,1.1,26635.3
131072,1.2,27796.4
131072,1.3,25599.2
131072,1.4,27050.9
131072,1.5,32274.5
131072,1.6,31938.4
131072,1.7,33639.6
131072,1.8,35298.6
131072,1.9,36948.6
131072,2,38591.4
131072,2.1,40226.5
131072,2.2,41898.6
131072,2.3,43493.3
131072,2.4,48183.9
131072,2.5,46702.4
131072,2.6,48262.5
131072,2.7,50012
131072,2.8,51809.9
131072,2.9,53699.6
131072,3,58539.1
