Vertices, Density, CSR w/o MKL, CSR w/ MKL 
1024, 0.1, 26556.2, 3464.2
1024, 0.2, 24797.4, 1310.7
1024, 0.3, 25357.4, 19857.9
1024, 0.4, 24901.9, 1315
1024, 0.5, 26879.5, 8675.8
1024, 0.6, 24790.4, 1235.6
1024, 0.7, 24938.9, 1411.4
1024, 0.8, 25185.1, 1318.9
1024, 0.9, 24952.3, 1410.1
1024, 1, 25080.1, 1317.2
1024, 1.1, 24746.7, 1319.6
1024, 1.2, 24826, 1317.7
1024, 1.3, 25047.9, 1316.6
1024, 1.4, 25042.6, 1322.1
1024, 1.5, 25066.7, 1315
1024, 1.6, 25040.6, 1409.6
1024, 1.7, 25253.9, 1321.9
1024, 1.8, 24746.2, 1406
1024, 1.9, 24868.7, 1321.2
1024, 2, 25049.7, 1318.2
1024, 2.1, 24966.1, 1239.5
1024, 2.2, 25131.3, 1319.3
1024, 2.3, 25174.7, 1415.8
1024, 2.4, 24951.7, 1410.6
1024, 2.5, 25243.9, 1229.3
1024, 2.6, 24029.4, 1318
1024, 2.7, 24958.5, 1411.1
1024, 2.8, 24955.7, 1408.4
1024, 2.9, 25055.2, 6280.2
1024, 3, 25111.2, 1316.8
2048, 0.1, 24233.5, 1234.5
2048, 0.2, 25464.9, 1414
2048, 0.3, 22727, 1410.5
2048, 0.4, 25163.7, 1231.2
2048, 0.5, 24255.1, 1235.1
2048, 0.6, 25250.9, 1227.8
2048, 0.7, 25121.9, 1322.2
2048, 0.8, 24728.1, 1228.6
2048, 0.9, 25004.2, 1316.1
2048, 1, 25370, 1329.7
2048, 1.1, 24928.2, 1222.7
2048, 1.2, 24470.4, 1234
2048, 1.3, 24811.5, 1219.9
2048, 1.4, 24878.2, 1409.3
2048, 1.5, 25171.9, 1228.5
2048, 1.6, 23633.6, 1313.9
2048, 1.7, 25507.3, 1225.7
2048, 1.8, 24972, 1317.8
2048, 1.9, 25127.8, 1413.8
2048, 2, 23805.1, 1231.7
2048, 2.1, 25114.1, 1233.4
2048, 2.2, 25261.8, 1220.5
2048, 2.3, 24732.7, 1313.4
2048, 2.4, 24429.4, 1317.4
2048, 2.5, 25901.8, 1412.8
2048, 2.6, 24733.9, 1312.3
2048, 2.7, 24745.6, 1314.7
2048, 2.8, 23525.4, 1233.8
2048, 2.9, 25121.6, 1412.9
2048, 3, 24825.4, 1224.5
4096, 0.1, 24346.7, 1516
4096, 0.2, 24270.1, 1423.3
