Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,9.6,9.1
1024,0.2,10.2,9
1024,0.3,9.8,9.3
1024,0.4,9.6,9.8
1024,0.5,11,8.8
1024,0.6,9.5,10.2
1024,0.7,11,8.5
1024,0.8,10.8,9.4
1024,0.9,10.2,9.2
1024,1,9.5,9
1024,1.1,9.5,8.3
1024,1.2,8.9,8
1024,1.3,9.9,8
1024,1.4,9.8,8.2
1024,1.5,9.9,8.1
1024,1.6,9.4,9.1
1024,1.7,9.2,8.1
1024,1.8,9.2,8.2
1024,1.9,11.2,9.4
1024,2,10.3,8.1
1024,2.1,9.8,8.9
1024,2.2,10.9,8.2
1024,2.3,11.1,9
1024,2.4,10.6,8.2
1024,2.5,10.2,9.4
1024,2.6,11.4,8.1
1024,2.7,14.3,9.1
1024,2.8,14.4,8.2
1024,2.9,14.9,9.6
1024,3,15.9,9.7
2048,0.1,10,8.2
2048,0.2,9.4,8.6
2048,0.3,10.5,7.8
2048,0.4,10.4,7.9
2048,0.5,11.5,9.2
2048,0.6,11.3,8.9
2048,0.7,16.2,9.2
2048,0.8,20.1,9.2
2048,0.9,26.9,9.5
2048,1,27.7,9.5
2048,1.1,28.4,10.9
2048,1.2,32.7,10.3
2048,1.3,32.7,9.6
2048,1.4,31.5,9.8
2048,1.5,34.5,10.8
2048,1.6,35.6,11.7
2048,1.7,41.3,11.9
2048,1.8,41.3,11.5
2048,1.9,37.7,12.2
2048,2,38,11.7
2048,2.1,54.7,16.9
2048,2.2,46.7,14.3
2048,2.3,49.5,17.1
2048,2.4,44.9,12
2048,2.5,54.9,18.5
2048,2.6,55.6,18.3
2048,2.7,52.9,13.2
2048,2.8,47.9,12.9
2048,2.9,61.1,17.2
2048,3,58.6,16.6
4096,0.1,16.8,13.6
4096,0.2,26.3,15.3
4096,0.3,22.7,12.7
4096,0.4,34.9,12.2
4096,0.5,36.7,13.2
4096,0.6,53.1,19
4096,0.7,65.7,20.8
4096,0.8,67.4,22
4096,0.9,79.9,24.7
4096,1,79.4,25
4096,1.1,91.9,25.1
4096,1.2,97,26.7
4096,1.3,108.2,26.6
4096,1.4,98.8,26.5
4096,1.5,115.9,29.1
4096,1.6,123.3,28.4
4096,1.7,127.6,27.8
4096,1.8,135.2,29.1
4096,1.9,139.7,32.1
4096,2,143.7,31.9
4096,2.1,152.3,32.1
4096,2.2,153.8,32.8
4096,2.3,164.2,33.3
4096,2.4,167.9,35.5
4096,2.5,172.2,35.3
4096,2.6,170.5,37.8
4096,2.7,182,36.9
4096,2.8,185.5,38
4096,2.9,190.5,39.8
4096,3,200.3,39.8
8192,0.1,46,22.3
8192,0.2,54.5,27
8192,0.3,91,29.2
8192,0.4,131,34.5
8192,0.5,161.7,37.9
8192,0.6,177.3,43.5
8192,0.7,205.3,46
8192,0.8,283.8,84.1
8192,0.9,245.7,51.6
8192,1,275,57.5
8192,1.1,295.7,61.7
8192,1.2,313.8,63.9
8192,1.3,337.5,69.4
8192,1.4,352.7,68.9
8192,1.5,379.6,74.2
8192,1.6,403.1,82.6
8192,1.7,429.6,84
8192,1.8,444,84.2
8192,1.9,469.4,91.1
8192,2,489.7,93.7
8192,2.1,513.6,99.7
8192,2.2,533.4,103.9
8192,2.3,549.3,106.1
8192,2.4,578.9,112
8192,2.5,592.9,113.4
8192,2.6,616.9,119.8
8192,2.7,634.6,124.2
8192,2.8,658.8,125.8
8192,2.9,677.3,132.1
8192,3,707.7,137.1
16384,0.1,163.5,48.2
16384,0.2,263,67.7
16384,0.3,370.8,84.4
16384,0.4,463.9,102.7
16384,0.5,541.1,119.8
16384,0.6,635.2,143.3
16384,0.7,722.2,160.5
16384,0.8,813.2,183.9
16384,0.9,887.9,203.5
16384,1,984.4,224.1
16384,1.1,1053.8,226.7
16384,1.2,1152.6,269.1
16384,1.3,1190.5,252.9
16384,1.4,1228.2,229.1
16384,1.5,1294.3,252.2
16384,1.6,1463.8,371.6
16384,1.7,1607.2,345.5
16384,1.8,1554.8,315
16384,1.9,1588.4,333.6
16384,2,1789.2,365.2
16384,2.1,1932,377.1
16384,2.2,1844.2,400.1
16384,2.3,2028.5,414.7
16384,2.4,1920.7,413.5
16384,2.5,2004.1,435.1
16384,2.6,2135.1,476.1
16384,2.7,2139.2,461.2
16384,2.8,2295.3,500.3
16384,2.9,2319.3,517.7
16384,3,2390.9,528.5
32768,0.1,541.3,134.8
32768,0.2,930.3,231.5
32768,0.3,1227.9,228
32768,0.4,1510.1,330.9
32768,0.5,1836.1,401
32768,0.6,2175.5,449.7
32768,0.7,2222.4,478.8
32768,0.8,2371.2,554.5
32768,0.9,2846.5,643.5
32768,1,3018.5,736.9
32768,1.1,2986.6,817.1
32768,1.2,3230,893.8
32768,1.3,3448,981.4
32768,1.4,3636,1053.2
32768,1.5,3542.8,1129
32768,1.6,3901.8,1211.5
32768,1.7,4768.7,1283.4
32768,1.8,5810.8,1387.4
32768,1.9,6162.6,1458.3
32768,2,6281.2,1542
32768,2.1,6774.5,1625.2
32768,2.2,6748.3,1682.1
32768,2.3,7016,1806.1
32768,2.4,7384.9,1851.1
32768,2.5,7794.1,1956.3
32768,2.6,8199.4,2019.3
32768,2.7,8166.9,2115.6
32768,2.8,8092.2,2169.9
32768,2.9,8705.9,2263.3
32768,3,8810.8,2333.3
