Vertices,Density,Bandwidth, Const
1024,0.1,8.73113,68554.2
1024,0.2,124.933,68554.2
1024,0.3,166.819,68554.2
1024,0.4,202.088,68554.2
1024,0.5,219.63,68554.2
1024,0.6,235.909,68554.2
1024,0.7,256.178,68554.2
1024,0.8,281.429,68554.2
1024,0.9,310.66,68554.2
1024,1,279.627,68554.2
1024,1.1,309.203,68554.2
1024,1.2,310.414,68554.2
1024,1.3,333.367,68554.2
1024,1.4,350.91,68554.2
1024,1.5,380.52,68554.2
1024,1.6,408.543,68554.2
1024,1.7,437.177,68554.2
1024,1.8,457.855,68554.2
1024,1.9,479.558,68554.2
1024,2,488.254,68554.2
1024,2.1,498.816,68554.2
1024,2.2,543.412,68554.2
1024,2.3,576.604,68554.2
1024,2.4,607.7,68554.2
1024,2.5,621.9,68554.2
1024,2.6,644.168,68554.2
1024,2.7,673.652,68554.2
1024,2.8,694.136,68554.2
1024,2.9,722.075,68554.2
1024,3,744.083,68554.2
2048,0.1,229.733,68554.2
2048,0.2,321.595,68554.2
2048,0.3,409.54,68554.2
2048,0.4,504.741,68554.2
2048,0.5,579.529,68554.2
2048,0.6,675.438,68554.2
2048,0.7,769.495,68554.2
2048,0.8,854.074,68554.2
2048,0.9,942.057,68554.2
2048,1,1019.12,68554.2
2048,1.1,1105.65,68554.2
2048,1.2,1188.99,68554.2
2048,1.3,1268.73,68554.2
2048,1.4,1358.27,68554.2
2048,1.5,1435.02,68554.2
2048,1.6,1520.27,68554.2
2048,1.7,1604.86,68554.2
2048,1.8,1696.38,68554.2
2048,1.9,1755.46,68554.2
2048,2,1862.58,68554.2
2048,2.1,1955.81,68554.2
2048,2.2,2010.37,68554.2
2048,2.3,2065.57,68554.2
2048,2.4,2198.94,68554.2
2048,2.5,2255.32,68554.2
2048,2.6,2352.4,68554.2
2048,2.7,2383.06,68554.2
2048,2.8,2487.18,68554.2
2048,2.9,2546.7,68554.2
2048,3,2653.97,68554.2
4096,0.1,620.277,68554.2
4096,0.2,955.37,68554.2
4096,0.3,1285.63,68554.2
4096,0.4,1626.07,68554.2
4096,0.5,1941.71,68554.2
4096,0.6,2259.36,68554.2
4096,0.7,2537.71,68554.2
4096,0.8,2841.48,68554.2
4096,0.9,3174.76,68554.2
4096,1,3480.17,68554.2
4096,1.1,3708.22,68554.2
4096,1.2,3922.92,68554.2
4096,1.3,4302.83,68554.2
4096,1.4,4590.89,68554.2
4096,1.5,4839.34,68554.2
4096,1.6,5080.07,68554.2
4096,1.7,5403.72,68554.2
4096,1.8,5469.61,68554.2
4096,1.9,5796.45,68554.2
4096,2,6175.99,68554.2
4096,2.1,6332.47,68554.2
4096,2.2,6627.52,68554.2
4096,2.3,6811.1,68554.2
4096,2.4,7085.7,68554.2
4096,2.5,7303.27,68554.2
4096,2.6,7610.81,68554.2
4096,2.7,7706.04,68554.2
4096,2.8,8050.19,68554.2
4096,2.9,8297.49,68554.2
4096,3,8276.29,68554.2
8192,0.1,1763.19,68554.2
8192,0.2,2897.9,68554.2
8192,0.3,4040.59,68554.2
8192,0.4,4980.45,68554.2
8192,0.5,5844.41,68554.2
8192,0.6,6811.14,68554.2
8192,0.7,7665.75,68554.2
8192,0.8,8249.41,68554.2
8192,0.9,8921,68554.2
8192,1,9661.35,68554.2
8192,1.1,10285,68554.2
8192,1.2,10800.2,68554.2
8192,1.3,11326.3,68554.2
8192,1.4,11362.2,68554.2
8192,1.5,11785,68554.2
8192,1.6,12219,68554.2
8192,1.7,12303.4,68554.2
8192,1.8,12963,68554.2
8192,1.9,13720.2,68554.2
8192,2,13478,68554.2
8192,2.1,13731.3,68554.2
8192,2.2,14112.2,68554.2
8192,2.3,14481.8,68554.2
8192,2.4,14558.8,68554.2
8192,2.5,14798.5,68554.2
8192,2.6,15015.9,68554.2
8192,2.7,15379.4,68554.2
8192,2.8,15395.4,68554.2
8192,2.9,16035.8,68554.2
8192,3,15894.8,68554.2
16384,0.1,4604.19,68554.2
16384,0.2,7345.83,68554.2
16384,0.3,9327.47,68554.2
16384,0.4,10991.1,68554.2
16384,0.5,12193.3,68554.2
16384,0.6,13140,68554.2
16384,0.7,13709.2,68554.2
16384,0.8,14512.9,68554.2
16384,0.9,15173.1,68554.2
16384,1,15793.5,68554.2
16384,1.1,16110.7,68554.2
16384,1.2,16470.4,68554.2
16384,1.3,16625,68554.2
16384,1.4,16971.1,68554.2
16384,1.5,17076.4,68554.2
16384,1.6,17475,68554.2
16384,1.7,18005.7,68554.2
16384,1.8,18575.6,68554.2
16384,1.9,18251.5,68554.2
16384,2,18320.8,68554.2
16384,2.1,18391.2,68554.2
16384,2.2,18432.9,68554.2
16384,2.3,18665.1,68554.2
16384,2.4,18702,68554.2
16384,2.5,18946.1,68554.2
16384,2.6,18676.2,68554.2
16384,2.7,19009.7,68554.2
16384,2.8,19074.7,68554.2
16384,2.9,19127.8,68554.2
16384,3,20811.4,68554.2
32768,0.1,9865.19,68554.2
32768,0.2,13059.9,68554.2
32768,0.3,14665.3,68554.2
32768,0.4,15686.5,68554.2
32768,0.5,17421.1,68554.2
32768,0.6,17311.1,68554.2
32768,0.7,17617.5,68554.2
32768,0.8,18378.8,68554.2
32768,0.9,19459.2,68554.2
32768,1,20148.6,68554.2
32768,1.1,21080,68554.2
32768,1.2,22707.8,68554.2
32768,1.3,22963.1,68554.2
32768,1.4,23128.9,68554.2
32768,1.5,23418.6,68554.2
32768,1.6,24525.9,68554.2
32768,1.7,26170.2,68554.2
32768,1.8,24912.6,68554.2
32768,1.9,26067.6,68554.2
32768,2,25571.2,68554.2
32768,2.1,26158.5,68554.2
32768,2.2,26577.6,68554.2
32768,2.3,26965.8,68554.2
32768,2.4,27074.5,68554.2
32768,2.5,28073.4,68554.2
32768,2.6,28225.1,68554.2
32768,2.7,29048.1,68554.2
32768,2.8,30997.5,68554.2
32768,2.9,29223.1,68554.2
32768,3,29781,68554.2
65536,0.1,14334,68554.2
65536,0.2,17299.8,68554.2
65536,0.3,20418.2,68554.2
65536,0.4,21395,68554.2
65536,0.5,24043.3,68554.2
65536,0.6,26233.1,68554.2
65536,0.7,26667,68554.2
65536,0.8,27824.3,68554.2
65536,0.9,29804,68554.2
65536,1,31384.1,68554.2
65536,1.1,30642.9,68554.2
65536,1.2,30624.5,68554.2
65536,1.3,33198.5,68554.2
65536,1.4,32495.5,68554.2
65536,1.5,33027,68554.2
65536,1.6,33484.4,68554.2
65536,1.7,35213.3,68554.2
65536,1.8,34500.3,68554.2
65536,1.9,36198.6,68554.2
65536,2,36332.9,68554.2
65536,2.1,35986.1,68554.2
65536,2.2,36572,68554.2
65536,2.3,36642.1,68554.2
65536,2.4,37546.4,68554.2
65536,2.5,37433.7,68554.2
65536,2.6,37729.8,68554.2
65536,2.7,37032.8,68554.2
65536,2.8,38377.6,68554.2
65536,2.9,38508.1,68554.2
65536,3,38736.3,68554.2
131072,0.1,30488.7,68554.2
131072,0.2,25826.3,68554.2
131072,0.3,30957.1,68554.2
131072,0.4,31607.7,68554.2
131072,0.5,33201.6,68554.2
131072,0.6,34942.6,68554.2
131072,0.7,35228.4,68554.2
131072,0.8,35830.3,68554.2
131072,0.9,36293.4,68554.2
131072,1,36561.5,68554.2
131072,1.1,37207.4,68554.2
131072,1.2,37875,68554.2
131072,1.3,37351.7,68554.2
131072,1.4,38171.8,68554.2
131072,1.5,38470.3,68554.2
131072,1.6,38251.7,68554.2
131072,1.7,38859.9,68554.2
131072,1.8,38490.6,68554.2
131072,1.9,39054.5,68554.2
131072,2,39373.4,68554.2
131072,2.1,39231.9,68554.2
131072,2.2,39237.9,68554.2
131072,2.3,39426.5,68554.2
131072,2.4,39581.3,68554.2
131072,2.5,39415,68554.2
131072,2.6,39879.1,68554.2
131072,2.7,39993.2,68554.2
131072,2.8,40080.7,68554.2
131072,2.9,39583.1,68554.2
131072,3,40273.6,68554.2
