Vertices,Density,CSR w/o MKL,CSR w/ MKL
1024,0.1,2627.1,27.8
1024,0.2,1311.3,24.8
1024,0.3,1301.9,32.5
1024,0.4,1301.5,24.3
1024,0.5,1273.5,21.9
1024,0.6,1274.1,20.9
1024,0.7,1248.6,20.8
1024,0.8,1228.8,28.3
1024,0.9,1203.4,26.8
1024,1,1178,24.7
1024,1.1,1157.5,27.4
1024,1.2,1147.1,24.6
1024,1.3,1123.4,26.2
1024,1.4,1117.4,26.7
1024,1.5,1086,17
1024,1.6,320,20.8
1024,1.7,1136.5,46.1
1024,1.8,1114.8,30.1
1024,1.9,913.5,19.8
1024,2,111.2,17.7
1024,2.1,112.8,18.2
1024,2.2,1042.6,15.2
1024,2.3,239,18.1
1024,2.4,108.7,17.4
1024,2.5,1065,17.2
1024,2.6,1032.5,24.2
1024,2.7,265.4,17.4
1024,2.8,264,17.6
1024,2.9,984.7,17
1024,3,111.9,17.4
2048,0.1,146.3,17.6
2048,0.2,1323.6,31.3
2048,0.3,1244.4,18.5
2048,0.4,117.2,39.4
2048,0.5,109.3,18.4
2048,0.6,1062.4,127.6
2048,0.7,218.9,133.1
2048,0.8,117.8,137.1
2048,0.9,804.2,176.7
2048,1,742.1,189
2048,1.1,121.1,20
2048,1.2,592.2,19.7
2048,1.3,123.8,19.8
2048,1.4,124.7,22.3
2048,1.5,127.3,19.4
2048,1.6,524,16.3
2048,1.7,184.4,18.2
2048,1.8,125.5,19.8
2048,1.9,138.3,19.6
2048,2,555,23.3
2048,2.1,134,25.3
2048,2.2,141.9,20.8
2048,2.3,521.8,21.3
2048,2.4,143.7,19.4
2048,2.5,135.6,372.2
2048,2.6,133.2,22
2048,2.7,150.2,428.6
2048,2.8,136.1,22.8
2048,2.9,142.3,390.5
2048,3,152.8,19.8
4096,0.1,1493.5,35
4096,0.2,197.7,18.5
4096,0.3,641.3,19.9
4096,0.4,330.2,23.1
4096,0.5,143.8,19.5
4096,0.6,143,23.3
4096,0.7,160.8,21.5
4096,0.8,154.7,26.9
4096,0.9,169.2,22.6
4096,1,180.1,22.9
4096,1.1,182.3,23.3
4096,1.2,190.5,24.8
4096,1.3,244.2,31.1
4096,1.4,280.5,35.7
4096,1.5,250,34.8
4096,1.6,348.9,45.1
4096,1.7,312.1,39.1
4096,1.8,325.8,44.7
4096,1.9,402,57.5
4096,2,413.7,49.3
4096,2.1,531.2,61.3
4096,2.2,537.3,66.1
4096,2.3,575.6,65.7
4096,2.4,589.6,67.7
4096,2.5,597.6,72.3
4096,2.6,616.2,69.8
4096,2.7,633.3,67.6
4096,2.8,643.4,72.3
4096,2.9,662.1,75.2
4096,3,678.9,71.3
8192,0.1,1499.5,25.7
8192,0.2,176.5,24
8192,0.3,232.4,38.5
8192,0.4,367.1,52
8192,0.5,459.6,57.8
8192,0.6,640,80.4
8192,0.7,713.1,85.3
8192,0.8,780.9,89.1
8192,0.9,847.8,101
8192,1,899.8,102.8
8192,1.1,960.2,101.3
8192,1.2,1017,115.4
8192,1.3,1062.9,108.6
8192,1.4,1152.8,124.4
8192,1.5,1194,138.1
8192,1.6,1238.8,134.9
8192,1.7,1324.4,150.6
8192,1.8,1371.3,151.9
8192,1.9,1424.1,157.4
8192,2,1485.9,162.9
8192,2.1,1530.9,170.7
8192,2.2,1608.1,181.8
8192,2.3,1585.9,177.4
8192,2.4,1697.5,165
8192,2.5,1676.5,177.7
8192,2.6,1743.3,187.3
8192,2.7,1687.9,172.1
8192,2.8,1791.3,167.3
8192,2.9,1815,180.1
8192,3,1911.6,225.3
16384,0.1,465.8,67.9
16384,0.2,883.8,115.2
16384,0.3,1132.9,147.5
16384,0.4,1399.1,172.8
16384,0.5,1612.5,208.4
16384,0.6,1790.1,196
16384,0.7,1972.1,226.4
16384,0.8,1656,229.5
16384,0.9,1187.8,191.1
16384,1,2432.9,328.6
16384,1.1,2600.8,362.5
16384,1.2,2015.8,302.8
16384,1.3,2824.2,383.7
16384,1.4,3065,446.2
16384,1.5,3291.6,507.3
16384,1.6,3168.4,456.2
16384,1.7,3367.1,503.5
16384,1.8,3503.4,478.1
16384,1.9,2980.3,482.7
16384,2,4026.2,559.2
16384,2.1,3660.9,566.5
16384,2.2,3961.5,500.8
16384,2.3,4022.6,562.5
16384,2.4,4110.8,584.5
16384,2.5,4258.6,614.2
16384,2.6,4640.3,587
16384,2.7,3646.5,551.7
16384,2.8,3540.7,599.4
16384,2.9,4644.4,619.5
16384,3,4947.4,642.1
32768,0.1,1488.5,173.5
32768,0.2,2375.9,368.5
32768,0.3,2869.7,489.9
32768,0.4,3236.8,450.2
32768,0.5,3191.6,507.7
32768,0.6,4454.9,587.2
32768,0.7,4556,670.3
32768,0.8,4739.8,733.6
32768,0.9,5164,792.9
32768,1,5618.3,2038.3
32768,1.1,5785.6,1003.9
32768,1.2,5888.4,1094.2
32768,1.3,6514.4,1165.9
32768,1.4,6624.6,1257.3
32768,1.5,7035.9,1366.1
32768,1.6,7419.2,1442.7
32768,1.7,9591.7,1544.7
32768,1.8,10483.3,1646.8
32768,1.9,10682.6,1737.7
32768,2,11199.5,1829.1
32768,2.1,11554.6,1902.4
32768,2.2,11373.1,1991.5
32768,2.3,12160.3,2091.6
32768,2.4,12379.7,2323.7
32768,2.5,13204,2277.1
32768,2.6,13518.5,2378.8
32768,2.7,13264.9,2454.3
32768,2.8,13663.8,2549
32768,2.9,14436.3,2634.3
32768,3,14396.3,2717.1
65536,0.1,3531.4,553.1
65536,0.2,4283.8,734.3
65536,0.3,6169.5,1110.5
65536,0.4,8091.6,1509.5
65536,0.5,9519.4,1891.3
65536,0.6,11104.4,3301.2
65536,0.7,11734.9,2602.6
65536,0.8,13428.9,3003.2
65536,0.9,19092.3,3595.3
65536,1,21045.8,3797.8
65536,1.1,22231.8,4178.1
65536,1.2,24435.8,4545.8
65536,1.3,25201.4,4882.8
65536,1.4,27679.9,5300.4
65536,1.5,28895.9,5656.2
65536,1.6,30163.1,6004.5
65536,1.7,32212.8,6345.9
65536,1.8,33664.4,6738.2
65536,1.9,35378,7075.4
65536,2,40097.2,7554.9
65536,2.1,41535,7825.7
65536,2.2,44756.1,8264
65536,2.3,48898,8696.7
65536,2.4,46465.7,8978.8
65536,2.5,51781.1,9330.3
65536,2.6,52271.4,9697.5
65536,2.7,55851.8,10073.3
65536,2.8,55989.2,10391.9
65536,2.9,59648.2,10837.1
65536,3,62648.3,11202.6
131072,0.1,8438.1,1540.6
131072,0.2,13494.4,3068.6
131072,0.3,19699.6,4575.8
131072,0.4,26107.2,6189.3
131072,0.5,40937.3,7721.6
131072,0.6,46190.1,9132
131072,0.7,52110.5,10693.5
131072,0.8,59169.4,12233.1
131072,0.9,68888.9,13759.2
131072,1,84363.7,15183.8
131072,1.1,90968.3,17033.6
131072,1.2,97112.7,18097.4
131072,1.3,103811,19554.3
131072,1.4,116025,21048.6
131072,1.5,127446,22541.5
131072,1.6,120775,24041.5
131072,1.7,143036,25565.4
131072,1.8,151459,26855.4
131072,1.9,159648,28454.4
131072,2,163613,29913.6
131072,2.1,172380,31288
131072,2.2,182004,32766.3
131072,2.3,192518,34274.4
131072,2.4,181525,35514.4
131072,2.5,214099,36981.2
131072,2.6,225940,38545.1
131072,2.7,228863,39819.8
131072,2.8,225487,41275
131072,2.9,246302,42868.9
131072,3,252147,44032.5
