Vertices,Density,MKL,MKL_BW,MULTIROW,MULTIROW_BW,ELLPACK,ELLPACK_BW,TRANSPOSED_ELLPACK,TRANSPOSED_ELLPACK_BW
1024,0.1,0.0199092,0.00082776,0.015622,0.00105492,0.0145443,0.0025346,0.0160678,0.00229427
1024,0.2,0.0139694,0.00147952,0.0130722,0.00158107,0.0193523,0.00211655,0.0188603,0.00217176
1024,0.3,0.0143823,0.00172767,0.0133859,0.00185629,0.0206938,0.00257313,0.0207159,0.00257039
1024,0.4,0.0141335,0.00205498,0.0133713,0.00217211,0.0247687,0.00248055,0.0233489,0.00263139
1024,0.5,0.0140724,0.00236037,0.0132332,0.00251004,0.025391,0.0029037,0.0271117,0.00271942
1024,0.6,0.0142265,0.00262721,0.0134771,0.00277329,0.0294061,0.00250723,0.0151911,0.00485338
1024,0.7,0.0142673,0.00291184,0.0135332,0.00306979,0.0306759,0.0026705,0.0295147,0.00277557
1024,0.8,0.0145454,0.00314409,0.0135866,0.00336596,0.0317937,0.00309193,0.0314292,0.00312779
1024,0.9,0.0153616,0.00324627,0.0136786,0.00364569,0.0347753,0.00282683,0.0141513,0.00694663
1024,1,0.0154802,0.00349014,0.0135675,0.00398215,0.0350434,0.00292209,0.0142806,0.00717054
1024,1.1,0.0156301,0.00372409,0.0136631,0.00426022,0.0404715,0.00273259,0.0386951,0.00285804
1024,1.2,0.0156793,0.00397493,0.0138564,0.00449784,0.0433573,0.00264519,0.0441708,0.00259646
1024,1.3,0.0156729,0.00423765,0.0138148,0.00480759,0.0430973,0.00275618,0.0468817,0.0025337
1024,1.4,0.01569,0.00449866,0.0138162,0.00510878,0.0467715,0.00253967,0.0490585,0.00242127
1024,1.5,0.0156663,0.00477508,0.0138799,0.00538968,0.0515934,0.00261987,0.0510959,0.00264538
1024,1.6,0.0157683,0.00500116,0.0139893,0.00563717,0.0662903,0.00216261,0.0652392,0.00219745
1024,1.7,0.0158955,0.00521656,0.0140886,0.0058856,0.0667894,0.00214645,0.0713775,0.00200848
1024,1.8,0.0156911,0.00554608,0.014171,0.00614099,0.0686308,0.00208886,0.0745845,0.00192212
1024,1.9,0.0159127,0.00573478,0.0142155,0.00641947,0.0781341,0.00188722,0.0791456,0.0018631
1024,2,0.0157856,0.00604196,0.014209,0.00671238,0.0747542,0.00219172,0.0773542,0.00211805
1024,2.1,0.0160227,0.00620471,0.0143647,0.00692086,0.0802322,0.00214418,0.0807596,0.00213017
1024,2.2,0.0161582,0.0064158,0.0144379,0.00718028,0.0824093,0.00213724,0.0804739,0.00218863
1024,2.3,0.0159091,0.0067604,0.0145013,0.00741672,0.0715118,0.00246292,0.0148597,0.0118527
1024,2.4,0.0162875,0.00686021,0.0145957,0.00765543,0.0911276,0.00193276,0.0950656,0.0018527
1024,2.5,0.0161539,0.00716432,0.0147094,0.00786791,0.0890955,0.00206879,0.0931733,0.00197825
1024,2.6,0.0162634,0.00737485,0.0147207,0.00814768,0.098611,0.00195224,0.100045,0.00192425
1024,2.7,0.01634,0.00758436,0.0146948,0.00843347,0.0984603,0.00191362,0.107617,0.0017508
1024,2.8,0.0162158,0.00790463,0.0147549,0.00868729,0.102672,0.0019548,0.113386,0.00177009
1024,2.9,0.0163792,0.00806562,0.0148838,0.00887596,0.106326,0.00188764,0.109953,0.00182536
1024,3,0.0165008,0.00825294,0.0148721,0.00915675,0.104728,0.00199465,0.110778,0.00188572
2048,0.1,0.0150354,0.00274952,0.0139254,0.00296868,0.0151314,0.00595528,0.0170469,0.00528614
2048,0.2,0.014943,0.0038865,0.0141873,0.00409353,0.0152964,0.00856879,0.0208741,0.00627916
2048,0.3,0.0152809,0.00489578,0.0142182,0.00526169,0.0244739,0.00635976,0.0240456,0.00647303
2048,0.4,0.0155637,0.00588188,0.0144908,0.0063174,0.0274578,0.00626533,0.0258284,0.00666058
2048,0.5,0.0170544,0.00634814,0.0146706,0.00737966,0.0284836,0.00747771,0.0305392,0.00697439
2048,0.6,0.0172244,0.00725342,0.0150226,0.00831652,0.0354576,0.00646902,0.0338175,0.00678276
2048,0.7,0.0174814,0.00809798,0.0152795,0.00926495,0.038284,0.00663338,0.0386033,0.0065785
2048,0.8,0.0174341,0.00908038,0.0155708,0.010167,0.0164968,0.0183735,0.0400157,0.00757462
2048,0.9,0.0180548,0.00968143,0.0158843,0.0110043,0.045245,0.00669917,0.043766,0.00692556
2048,1,0.0182673,0.0104814,0.0161555,0.0118516,0.0427727,0.00766096,0.0462698,0.00708194
2048,1.1,0.0183712,0.0113299,0.0164055,0.0126875,0.0503908,0.00666534,0.051503,0.0065214
2048,1.2,0.0183555,0.0122442,0.0166595,0.0134907,0.0551761,0.00682962,0.0549613,0.00685631
2048,1.3,0.0187168,0.0128903,0.0169115,0.0142663,0.0567517,0.0072174,0.0578097,0.00708531
2048,1.4,0.018776,0.0137207,0.0172094,0.0149697,0.0581734,0.00718184,0.063225,0.00660802
2048,1.5,0.0190114,0.0144253,0.0175085,0.0156635,0.0558185,0.00748482,0.0601323,0.00694788
2048,1.6,0.0192221,0.0151297,0.0177252,0.0164074,0.0668281,0.00674207,0.0693584,0.00649611
2048,1.7,0.0194756,0.0157886,0.017947,0.0171333,0.0692253,0.00710029,0.0739564,0.00664607
2048,1.8,0.0197846,0.0163701,0.0182745,0.0177228,0.0740555,0.00663718,0.0706844,0.00695372
2048,1.9,0.0197651,0.0172158,0.0185364,0.018357,0.0796017,0.00679222,0.0841132,0.00642791
2048,2,0.0199465,0.0178991,0.0188091,0.0189814,0.0820578,0.00638925,0.0839793,0.00624307
2048,2.1,0.0201023,0.0185515,0.0190571,0.019569,0.0840513,0.00643264,0.0822941,0.00657
2048,2.2,0.0200717,0.0194068,0.0192749,0.0202091,0.0827677,0.00742319,0.0911019,0.0067441
2048,2.3,0.0202625,0.0200502,0.0196777,0.0206461,0.0858517,0.00734737,0.0957871,0.00658527
2048,2.4,0.0203199,0.0207924,0.019939,0.0211897,0.0877698,0.00700013,0.0964756,0.00636845
2048,2.5,0.0203904,0.0215156,0.0201238,0.0218007,0.0946418,0.00675152,0.101897,0.00627082
2048,2.6,0.0205625,0.0221247,0.0203665,0.0223377,0.0947662,0.00700199,0.105884,0.00626679
2048,2.7,0.0206581,0.0228185,0.0205895,0.0228946,0.0918714,0.00740096,0.111704,0.00608695
2048,2.8,0.020802,0.0234588,0.0208985,0.0233504,0.102216,0.00697255,0.108684,0.0065576
2048,2.9,0.0209125,0.0241123,0.0211426,0.0238499,0.106274,0.00670632,0.112178,0.00635333
2048,3,0.0210135,0.0247569,0.0214212,0.0242856,0.111335,0.00662217,0.119445,0.00617257
4096,0.1,0.0167574,0.00693642,0.0159332,0.00729521,0.017908,0.0137234,0.0171957,0.0142919
4096,0.2,0.0176116,0.0104043,0.0169098,0.0108361,0.0244133,0.0147644,0.024102,0.0149551
4096,0.3,0.0202203,0.0123723,0.0180734,0.013842,0.0240698,0.0217819,0.0211502,0.0247888
4096,0.4,0.0213865,0.0148238,0.0191711,0.0165367,0.0362646,0.0153609,0.0335293,0.016614
4096,0.5,0.0222048,0.0172903,0.0201167,0.019085,0.0354953,0.0184633,0.0355155,0.0184528
4096,0.6,0.0227699,0.0197928,0.021262,0.0211965,0.0367419,0.0196205,0.0394642,0.0182671
4096,0.7,0.0232947,0.0222117,0.0223939,0.0231052,0.0402521,0.0215728,0.0436299,0.0199027
4096,0.8,0.0242403,0.0240883,0.0234883,0.0248595,0.0450941,0.0210731,0.0465391,0.0204188
4096,0.9,0.0249661,0.0260412,0.0244756,0.0265632,0.0463023,0.0226463,0.0257497,0.0407219
4096,1,0.0255697,0.0280372,0.0255733,0.0280333,0.0595535,0.0184326,0.0489053,0.022446
4096,1.1,0.0259604,0.0301666,0.0265363,0.0295119,0.0550048,0.022042,0.0526096,0.0230455
4096,1.2,0.0266628,0.0318697,0.0276869,0.0306909,0.0518848,0.0249463,0.0587632,0.0220263
4096,1.3,0.0270856,0.0338163,0.0286465,0.0319737,0.0619108,0.0214358,0.0667514,0.0198813
4096,1.4,0.0276639,0.035497,0.0298564,0.0328902,0.0640156,0.0230344,0.0684205,0.0215514
4096,1.5,0.0285213,0.0367603,0.0307423,0.0341045,0.0657868,0.0244066,0.0676791,0.0237242
4096,1.6,0.0288834,0.0385875,0.0318979,0.0349409,0.0706653,0.0227216,0.0721789,0.0222452
4096,1.7,0.0296812,0.0397571,0.0329029,0.0358642,0.0719923,0.0232132,0.0705342,0.023693
4096,1.8,0.0301692,0.0413115,0.0339285,0.0367341,0.0757416,0.0237946,0.0815624,0.0220965
4096,1.9,0.0311072,0.0421864,0.0350156,0.0374776,0.0798652,0.0231815,0.0819269,0.0225981
4096,2,0.0316267,0.0435726,0.0362133,0.038054,0.0768243,0.0279378,0.0895076,0.023979
4096,2.1,0.0320315,0.0450564,0.0369934,0.039013,0.083015,0.0246702,0.0904082,0.0226528
4096,2.2,0.0328927,0.0458813,0.0382746,0.0394298,0.0840507,0.0243662,0.0958919,0.0213574
4096,2.3,0.0333105,0.0472824,0.0390997,0.0402817,0.0937936,0.0234073,0.0871822,0.0251824
4096,2.4,0.0339191,0.0483676,0.0402703,0.0407393,0.0959946,0.0238947,0.0970074,0.0236452
