Name,ELLPACK,TELLPACK,CSR w/o MKL,CSR w/ MKL
cant.mtx,976.4,790.7,604.4,943.3
consph.mtx,1158.2,883.9,702.4,1165.5
crankseg_2.mtx,19839.1,19837.1,1476.1,1786.5
Ga41As41H72.mtx,17261.2,17242.3,2017,2160.3
inline_1.mtx,39013.2,38921.1,4793.8,6005.1
ldoor.mtx,7488.7,7415.3,5640.2,5709.7
mac_econ_fwd500.mtx,1686.8,1140,575.5,613.6
mouse_gene.mtx,33023.1,32873.5,3033,3307
pdb1HYS.mtx,1178.5,876.3,498.5,1046
pwtk.mtx,3933.7,3683.3,1414.1,1450.1
rma10.mtx,1070.1,890.8,410.9,745.2
atmosmodd.mtx,2933.7,1884,3400.7,4499.6
