Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95,ARMPL,CI w 0.95,BW,CI w 0.95
1024,0.1,26.2508,0.254492,316283,2308.66,25.6668,0.0824768,322991,1025.68
1024,0.2,27.0245,0.0798604,461312,1358.44,25.6231,0.0824068,486560,1541.08
1024,0.3,28.3857,0.0846625,586902,1705.36,25.8859,0.159275,643965,3412.4
1024,0.4,28.7444,0.0760888,725135,1877.24,25.7759,0.0783952,808694,2448.72
1024,0.5,29.2423,0.102718,856001,2891.23,25.4713,0.177393,983405,5542.09
1024,0.6,29.4992,0.095567,990246,3108.14,25.6451,0.0756112,1.13902e+06,3316.86
1024,0.7,30.0929,0.10432,1.10822e+06,3676.73,25.6594,0.0989701,1.29981e+06,4905.47
1024,0.8,45.3464,22.8579,1.23839e+06,20081.9,25.6014,0.085809,1.46579e+06,4746.02
1024,0.9,29.9573,0.0868552,1.39201e+06,3991.14,25.9416,0.090268,1.60762e+06,5399.14
1024,1,30.0398,0.0699944,1.52605e+06,3528.37,25.856,0.300462,1.77686e+06,14223.7
1024,1.1,30.8054,0.079971,1.62193e+06,4158.87,27.4115,0.079644,1.82283e+06,5252.93
1024,1.2,30.2796,0.0908838,1.78721e+06,5202.77,25.8231,0.0912642,2.09582e+06,7261.08
1024,1.3,31.3337,0.0841616,1.85929e+06,4899.17,26.0296,0.138531,2.23918e+06,10694.9
1024,1.4,30.2735,0.089079,2.06072e+06,5910.8,26.156,0.0870637,2.38527e+06,7795.64
1024,1.5,31.4146,0.093452,2.11833e+06,6161.02,26.1542,0.0822797,2.54446e+06,7887.41
1024,1.6,30.776,0.155336,2.2995e+06,10616.9,26.1165,0.086958,2.7089e+06,8702.76
1024,1.7,30.8693,0.162668,2.42279e+06,11262.4,26.0713,0.0833958,2.86763e+06,9075.4
1024,1.8,30.7625,0.0728316,2.56517e+06,6026.93,26.1344,0.156787,3.02135e+06,15602
1024,1.9,30.7336,0.0858069,2.70115e+06,7419.32,26.2146,0.0804455,3.16691e+06,9500.17
1024,2,31.099,0.436414,2.81027e+06,25116.2,26.2386,0.081213,3.32124e+06,10055.6
1024,2.1,31.093,0.0767077,2.93628e+06,7142.14,26.2694,0.0805309,3.47572e+06,10476.4
1024,2.2,31.1109,0.0832022,3.0666e+06,7971.88,26.2805,0.0910378,3.63069e+06,12295.4
1024,2.3,31.1164,0.0762366,3.19724e+06,7727.63,26.3053,0.0880346,3.78248e+06,12307.8
1024,2.4,31.3043,0.114859,3.3109e+06,11562.1,26.3724,0.262357,3.93653e+06,31079.2
1024,2.5,31.4141,0.0985484,3.42923e+06,10568.4,26.2971,0.121595,4.09758e+06,17762.7
1024,2.6,32.2165,0.0786295,3.46345e+06,8300.94,26.4619,0.0886666,4.21716e+06,13546.4
1024,2.7,32.33,0.0857886,3.58355e+06,9284.75,27.4069,0.0874748,4.22757e+06,13095.4
1024,2.8,32.6394,0.219925,3.67946e+06,19498.9,26.3238,0.0776696,4.55915e+06,13310.1
1024,2.9,32.9818,0.326932,3.76782e+06,26126.6,26.3816,0.0812179,4.70347e+06,14339.5
1024,3,32.9758,0.0726549,3.88211e+06,8462.53,26.2459,0.0787562,4.87803e+06,14406.9
2048,0.1,27.7273,0.0864577,900125,2761.94,25.4838,0.0922638,979449,3470.23
2048,0.2,29.075,0.202747,1.43618e+06,8056.97,25.4245,0.0945178,1.64132e+06,5773.29
2048,0.3,29.0925,0.0725406,2.0088e+06,4942.58,25.5686,0.0919256,2.28603e+06,8040.82
2048,0.4,29.7585,0.075985,2.52514e+06,6388.53,25.7416,0.0774702,2.91935e+06,8599.52
2048,0.5,29.9869,0.0881279,3.06424e+06,8721.9,26.0631,0.19658,3.5288e+06,21055.2
2048,0.6,31.1353,0.0823186,3.48565e+06,9070.53,25.8777,0.0756636,4.194e+06,12087.3
2048,0.7,30.8735,0.0897092,4.05676e+06,11723,25.9313,0.0876201,4.83023e+06,15522
2048,0.8,32.2078,0.110656,4.40527e+06,14485.3,26.0996,0.0882023,5.43625e+06,17928.8
2048,0.9,32.9583,0.19414,4.88956e+06,631.079,26.2046,0.0744826,6.05116e+06,17190.9
2048,1,32.7649,0.101311,5.34389e+06,15806.9,26.2518,0.0841016,6.66988e+06,20880.2
2048,1.1,33.4824,0.100611,5.7263e+06,16638.7,26.5812,0.0865288,7.21328e+06,22891.1
2048,1.2,33.6182,0.100471,6.19561e+06,17923.4,26.6797,0.0870043,7.80718e+06,24426.8
2048,1.3,34.2955,0.0823508,6.55351e+06,15517.7,26.6838,0.0759058,8.42341e+06,23345.5
2048,1.4,34.8672,0.10081,6.92355e+06,19371.4,26.7075,0.0702921,9.03856e+06,23479.9
2048,1.5,34.7965,0.103227,7.41061e+06,21164.7,27.0277,0.0896503,9.54121e+06,30665.1
2048,1.6,36.0687,0.195771,7.61698e+06,34797.5,27.2539,0.223798,1.00872e+07,62667.6
2048,1.7,36.2433,0.0800996,8.03247e+06,17626.6,27.4272,0.0837325,1.06156e+07,31795.6
2048,1.8,36.7084,0.0899752,8.37675e+06,19933.5,27.5376,0.362408,1.11955e+07,93671.6
2048,1.9,37.1294,0.100947,8.72414e+06,22992.7,27.4144,0.0763858,1.18159e+07,32309.4
2048,2,37.5428,0.0907104,9.07244e+06,21322.1,27.8348,0.119259,1.22401e+07,48153.9
2048,2.1,37.9994,0.0963887,9.39319e+06,22918.1,27.895,0.0944865,1.27973e+07,42141.2
2048,2.2,38.2581,0.094446,9.7569e+06,23560.8,28.1308,0.0798662,1.32701e+07,37083.8
2048,2.3,37.8028,0.092517,1.03149e+07,24734.4,28.1952,0.0749774,1.38302e+07,36270.2
2048,2.4,38.7392,0.0837882,1.04803e+07,22182,28.3924,0.081674,1.43008e+07,40477.7
2048,2.5,39.0643,0.0971638,1.08145e+07,26143.1,28.3921,0.0840063,1.48805e+07,43367.6
2048,2.6,39.4412,0.0854629,1.11274e+07,23790.8,28.847,0.0958532,1.52164e+07,49539.4
2048,2.7,40.0973,0.0955016,1.13526e+07,26414.4,28.8776,0.342645,1.57974e+07,121948
2048,2.8,40.6315,0.0904056,1.1608e+07,25448.3,29.0558,0.0767738,1.62333e+07,42188.4
2048,2.9,41.0313,0.0968014,1.18901e+07,27279.8,29.3486,0.0769363,1.66237e+07,42521.7
2048,3,41.6077,0.110105,1.21154e+07,31104.9,29.1274,0.0696148,1.7306e+07,40679.7
4096,0.1,28.5218,0.0826284,2.92706e+06,8215.72,25.8224,0.0910491,3.23337e+06,11058.3
4096,0.2,30.7952,0.084915,4.88649e+06,13284.4,26.6333,0.103968,5.65104e+06,20738.6
4096,0.3,32.348,0.1301,6.72421e+06,25228.1,26.8493,0.0792961,8.09996e+06,23249.5
4096,0.4,34.1937,0.0878939,8.31623e+06,21006.4,27.5065,0.0949949,1.03393e+07,34786
4096,0.5,35.9993,0.0863463,9.7549e+06,22881.6,28.157,0.0941722,1.24735e+07,40438.6
4096,0.6,37.8188,0.110753,1.10495e+07,31012.5,28.369,0.0849637,1.47303e+07,43380.8
4096,0.7,39.5773,0.0952944,1.22444e+07,28549.1,29.3269,0.226139,1.65408e+07,98510.9
4096,0.8,41.5341,0.102809,1.3273e+07,31412.7,29.6556,0.0921007,1.85911e+07,56240.1
