Vertices,Density,SVE,SVE_BW,ARMPL,ARMPL_BW
1024,0.1,0.046877,3.51473e+14,0.0455127,3.62009e+14
1024,0.2,0.0475231,4.34904e+14,0.0458555,4.5072e+14
1024,0.3,0.0474934,5.23273e+14,0.0458673,5.41824e+14
1024,0.4,0.0471457,6.15539e+14,0.0458846,6.32457e+14
1024,0.5,0.0474254,6.99878e+14,0.0458097,7.24563e+14
1024,0.6,0.0475276,7.86575e+14,0.0461379,8.10267e+14
1024,0.7,0.0474852,8.75135e+14,0.0457629,9.08072e+14
1024,0.8,0.0468752,9.75101e+14,0.0459807,9.94069e+14
1024,0.9,0.0470333,1.06044e+15,0.0455293,1.09547e+15
1024,1,0.047805,1.12959e+15,0.0463977,1.16385e+15
1024,1.1,0.0468157,1.24334e+15,0.045751,1.27228e+15
1024,1.2,0.0468711,1.33037e+15,0.0460719,1.35345e+15
1024,1.3,0.0477701,1.39183e+15,0.045906,1.44835e+15
1024,1.4,0.0470224,1.50107e+15,0.045913,1.53734e+15
1024,1.5,0.0472087,1.5831e+15,0.0458086,1.63148e+15
1024,1.6,0.0469903,1.67984e+15,0.0460966,1.71241e+15
1024,1.7,0.0474561,1.74932e+15,0.0463849,1.78972e+15
1024,1.8,0.0475742,1.83259e+15,0.0462165,1.88642e+15
1024,1.9,0.0474663,1.91858e+15,0.046618,1.95349e+15
1024,2,0.0473488,2.0139e+15,0.0463702,2.05641e+15
1024,2.1,0.0485076,2.04982e+15,0.0463825,2.14374e+15
1024,2.2,0.0477515,2.16705e+15,0.0467065,2.21554e+15
1024,2.3,0.0481854,2.2347e+15,0.0465442,2.3135e+15
1024,2.4,0.0482247,2.31832e+15,0.0469531,2.3811e+15
1024,2.5,0.0481719,2.40414e+15,0.0464302,2.49432e+15
1024,2.6,0.0474953,2.52682e+15,0.0470272,2.55197e+15
1024,2.7,0.0476527,2.60283e+15,0.0467125,2.65522e+15
1024,2.8,0.0489109,2.62069e+15,0.0469132,2.73228e+15
1024,2.9,0.0484616,2.72983e+15,0.0472445,2.80015e+15
1024,3,0.0481802,2.8273e+15,0.077038,1.76822e+15
2048,0.1,0.047255,8.74829e+14,0.0448786,9.21152e+14
2048,0.2,0.0463419,1.25355e+15,0.0453043,1.28226e+15
2048,0.3,0.0463404,1.61501e+15,0.0451021,1.65935e+15
2048,0.4,0.0463682,1.97463e+15,0.0452392,2.02391e+15
