Vertices,Density,MyImplementation,CI w 0.95,BW,CI w 0.95
1024,0.1,27.7126,0.119164,299056,1205.62
1024,0.2,29.6691,0.133864,420566,1735.88
1024,0.3,28.9733,0.0859803,575414,1692.95
1024,0.4,28.4828,0.0908069,731854,2303.04
1024,0.5,28.1479,0.0832716,889211,2586.48
1024,0.6,28.1215,0.0816067,1.03771e+06,2900.27
1024,0.7,27.982,0.0997886,1.19171e+06,4155.91
1024,0.8,28.2533,0.40091,1.3354e+06,6428.96
1024,0.9,28.0434,0.338204,1.4906e+06,12947.4
1024,1,27.6965,0.084768,1.65489e+06,5034.64
1024,1.1,27.8399,0.089675,1.79629e+06,5574.26
1024,1.2,27.4192,0.0997392,1.97473e+06,6987.18
1024,1.3,27.553,0.174507,2.11655e+06,11300.9
1024,1.4,27.5601,0.0964467,2.26554e+06,7567.95
1024,1.5,27.5577,0.0968114,2.41806e+06,8239.77
1024,1.6,27.8534,0.0783709,2.53706e+06,7000.04
1024,1.7,27.5419,0.0805435,2.71411e+06,7837.02
1024,1.8,27.7237,0.0860737,2.84776e+06,8564.7
1024,1.9,27.6997,0.118743,2.99815e+06,11969.8
1024,2,27.6753,0.0899515,3.14832e+06,10032.7
1024,2.1,27.7055,0.0741359,3.29322e+06,8731.26
1024,2.2,27.6545,0.0854997,3.44922e+06,10399.1
1024,2.3,27.7669,0.0718456,3.57897e+06,9211.96
1024,2.4,27.7431,0.0870072,3.73213e+06,11442.5
1024,2.5,27.8995,0.0904828,3.8604e+06,12037.5
1024,2.6,27.9356,0.0889817,4.00203e+06,12239
1024,2.7,27.6532,0.0798787,4.18816e+06,11896.3
1024,2.8,27.8257,0.0799264,4.30856e+06,12192.8
1024,2.9,27.8341,0.0832934,4.45581e+06,13102.4
1024,3,28.2229,0.203578,4.61119e+06,618.45
2048,0.1,26.3551,0.0755482,947257,2664.19
2048,0.2,26.7634,0.115633,1.55878e+06,6320.33
2048,0.3,26.5523,0.0795838,2.20203e+06,6535.66
2048,0.4,26.4941,0.0861008,2.83759e+06,8957.27
2048,0.5,26.5424,0.112453,3.46234e+06,13677.2
2048,0.6,26.3568,0.0757825,4.11925e+06,11659.5
2048,0.7,26.9502,0.0803948,4.64603e+06,13635.3
2048,0.8,26.9114,0.0860636,5.27196e+06,16418.3
2048,0.9,27.1055,0.0887418,5.84785e+06,18522.1
2048,1,27.3014,0.0764197,6.41747e+06,17597.2
2048,1.1,27.4664,0.0923499,6.9846e+06,23084.6
2048,1.2,27.3051,0.0749423,7.63226e+06,20970.6
2048,1.3,27.4431,0.0700249,8.19121e+06,20711.3
2048,1.4,27.5835,0.0916363,8.75672e+06,28222.6
2048,1.5,27.6681,0.0725962,9.32495e+06,23914.9
2048,1.6,27.9354,0.203797,9.83479e+06,57056.3
2048,1.7,27.6044,0.0902396,1.05419e+07,33330.7
2048,1.8,27.7896,0.079338,1.1058e+07,31229.6
2048,1.9,27.9564,0.101509,1.15841e+07,39878.6
2048,2,27.9082,0.114044,1.22127e+07,47224.7
2048,2.1,28.1839,0.0782932,1.26596e+07,34791.1
2048,2.2,28.4321,0.266308,1.31498e+07,92137.5
2048,2.3,28.4701,0.124997,1.36955e+07,55062.5
2048,2.4,28.3133,0.0818298,1.43499e+07,40493.2
2048,2.5,28.5583,0.269437,1.48173e+07,102143
2048,2.6,28.5043,0.0786672,1.53892e+07,42026.5
2048,2.7,29.2228,0.294299,1.58096e+07,3003.36
2048,2.8,28.2503,0.0867522,1.66939e+07,49622
2048,2.9,28.5198,0.110959,1.71193e+07,62084.4
2048,3,28.5823,0.0965273,1.76305e+07,56841.4
4096,0.1,26.6729,0.0738692,3.12931e+06,8511.57
4096,0.2,28.2649,0.0721617,5.32478e+06,13479.8
4096,0.3,27.2908,0.077964,7.9666e+06,22073.1
4096,0.4,28.299,0.0889423,1.00466e+07,30655.7
4096,0.5,27.4456,0.0974489,1.27948e+07,43191.3
4096,0.6,28.7297,0.0853332,1.45454e+07,42183.4
4096,0.7,29.2205,0.458897,1.66408e+07,152646
4096,0.8,29.2296,0.0888405,1.88574e+07,55056.8
4096,0.9,29.4497,0.0949628,2.09818e+07,65113.9
4096,1,29.7744,0.0862289,2.29811e+07,65032.7
4096,1.1,29.9696,0.0980743,2.50504e+07,78121.3
4096,1.2,30.1269,0.0836719,2.71157e+07,73570.8
4096,1.3,30.7656,0.114476,2.87109e+07,100708
4096,1.4,30.9979,0.0864302,3.06293e+07,83427.7
4096,1.5,31.8236,0.188041,3.24687e+07,4313.29
4096,1.6,31.5502,0.0921399,3.42844e+07,95604.7
4096,1.7,31.8054,0.104653,3.60886e+07,112038
4096,1.8,32.1258,0.0894438,3.77786e+07,102442
4096,1.9,32.5877,0.267163,3.93184e+07,249142
4096,2,32.6383,0.103312,4.12172e+07,124039
4096,2.1,33.0537,0.0963344,4.27037e+07,120815
4096,2.2,33.1908,0.0866182,4.44913e+07,112159
4096,2.3,33.6187,0.10404,4.58863e+07,137458
4096,2.4,33.7825,0.100836,4.75956e+07,137349
4096,2.5,34.1605,0.0773248,4.89904e+07,108480
4096,2.6,34.3532,0.0831927,5.06203e+07,120278
4096,2.7,34.591,0.0915979,5.21599e+07,134409
4096,2.8,34.9834,0.104917,5.34436e+07,154725
4096,2.9,35.1812,0.0911807,5.49968e+07,139183
4096,3,35.442,0.105608,5.64328e+07,160563
8192,0.1,32.6592,0.0821088,9.22027e+06,22732.7
8192,0.2,34.8461,0.0785296,1.63347e+07,36329.8
8192,0.3,38.0211,0.11403,2.20177e+07,63109.5
